CoxGLM_0	CoxGLM_0.1	CoxGLM_0.2	CoxGLM_0.3	CoxGLM_0.4	CoxGLM_0.5	CoxGLM_0.6	CoxGLM_0.7	CoxGLM_0.8	CoxGLM_0.9	CoxGLM_1
1	0.735334488055165	0.734468446681264	0.733798490146737	0.733586064904082	0.733291937645021	0.733259256838459	0.733177554822053	0.733063171999085	0.733014150789241	0.732932448772836	0.732981469982679
2	0.715258596056767	0.715591961139156	0.715845953582881	0.716020573387942	0.716084071498873	0.716195193193003	0.716147569609804	0.716385687525796	0.716480934692193	0.716369812998063	0.716385687525796
3	0.726867623552965	0.726060351647642	0.726060351647642	0.72538224324717	0.725285370618532	0.725188497989893	0.72538224324717	0.725317661494745	0.725301516056638	0.725317661494745	0.725317661494745
4	0.720453898915826	0.721180895786579	0.721670828460347	0.721686632740146	0.721718241299744	0.721702437019945	0.721670828460347	0.721607611341151	0.721734045579543	0.721844675538136	0.721860479817935
5	0.734024668080761	0.731856390918375	0.731023646790793	0.730725115877131	0.73019090266321	0.730253751276612	0.730080917589756	0.729703825909341	0.729515280069133	0.72943671930238	0.72942100714903
6	0.745544707887804	0.743530141019681	0.74370060437006	0.743545637687897	0.743452657678599	0.743003254300325	0.743204710987138	0.743142724314272	0.743096234309623	0.743220207655354	0.743189214318921
7	0.718696288751671	0.716706983258005	0.715370169966261	0.714606276656694	0.713937870010822	0.713921955566873	0.713921955566873	0.713794640015278	0.713730982239481	0.713651410019734	0.713603666687886
8	0.732105712949675	0.732057339116694	0.731767096118806	0.731621974619862	0.731573600786881	0.731541351564894	0.731541351564894	0.731573600786881	0.731589725397875	0.731605850008869	0.731686473063837
9	0.724121196434638	0.722163806072763	0.722050568613812	0.721985861494411	0.72192115437501	0.721824093695909	0.721791740136209	0.721775563356358	0.721727033016808	0.721727033016808	0.721710856236958
10	0.714059393136003	0.714706024992321	0.714835351363585	0.714673693399505	0.714770688177953	0.714754522381545	0.714835351363585	0.714770688177953	0.714738356585137	0.714835351363585	0.714851517159993
