component_0	component_1	component_2	component_3	component_4	component_5	component_6	component_7	component_8	component_9	component_10	predicted_component	max_proba
1	0.002	0.961333333333333	0.0313333333333333	0	0.004	0	0.000666666666666667	0	0.000666666666666667	0	0	1	0.961333333333333
2	0.267333333333333	0.0826666666666667	0.232666666666667	0.00133333333333333	0.414666666666667	0	0	0.00133333333333333	0	0	0	4	0.414666666666667
3	0.124888888888889	0.264666666666667	0.0275555555555556	0.111555555555556	0.332666666666667	0.00422222222222222	0.00244444444444444	0.0484444444444444	0.00422222222222222	0.0775555555555556	0.00177777777777778	4	0.332666666666667
4	0.0226666666666667	0.770222222222222	0.188444444444444	0.000888888888888889	0.0146666666666667	0	0	0	0.00222222222222222	0.000888888888888889	0	1	0.770222222222222
5	0.026	0.329333333333333	0.134222222222222	0.000444444444444444	0.474222222222222	0.00577777777777778	0.00133333333333333	0.00133333333333333	0.026	0.000888888888888889	0.000444444444444444	4	0.474222222222222
6	0.0106666666666667	0.00533333333333333	0.008	0	0	0	0	0	0.970666666666667	0.00133333333333333	0.004	8	0.970666666666667
7	0.00233333333333333	0.972666666666667	0.0126666666666667	0.000333333333333333	0.00633333333333333	0.00166666666666667	0.00333333333333333	0.000666666666666667	0	0	0	1	0.972666666666667
8	0.004	0.663555555555556	0.00311111111111111	0.307111111111111	0.0151111111111111	0.00222222222222222	0.000888888888888889	0.00177777777777778	0.000888888888888889	0.00133333333333333	0	1	0.663555555555556
9	0.00133333333333333	0.966666666666667	0.00933333333333333	0.00133333333333333	0.002	0.004	0	0	0.000666666666666667	0.0146666666666667	0	1	0.966666666666667
10	0.0128888888888889	0.0377777777777778	0.0271111111111111	0.012	0.00888888888888889	0.000444444444444444	0.0182222222222222	0	0.879555555555556	0.00177777777777778	0.00133333333333333	8	0.879555555555556
11	0.00233333333333333	0.963333333333333	0.019	0.000666666666666667	0.0123333333333333	0.001	0.000666666666666667	0	0.000666666666666667	0	0	1	0.963333333333333
12	0	0	0	0.995047619047619	0.000380952380952381	0.00152380952380952	0.000761904761904762	0.0020952380952381	0	0.00019047619047619	0	3	0.995047619047619
13	0.00622222222222222	0.956888888888889	0.0275555555555556	0	0.006	0.000444444444444444	0.000888888888888889	0.000444444444444444	0.000444444444444444	0.000888888888888889	0.000222222222222222	1	0.956888888888889
14	0.0351111111111111	0.315777777777778	0.274444444444444	0	0.365555555555556	0.004	0.00266666666666667	0.002	0.000222222222222222	0.000222222222222222	0	4	0.365555555555556
15	0.193333333333333	0.133333333333333	0.631555555555556	0.000444444444444444	0.0217777777777778	0.0142222222222222	0.000444444444444444	0.000888888888888889	0.00177777777777778	0.00222222222222222	0	2	0.631555555555556
16	0.186333333333333	0.0133333333333333	0.748666666666667	0.00133333333333333	0.0443333333333333	0.000333333333333333	0.000333333333333333	0	0.00266666666666667	0.00233333333333333	0.000333333333333333	2	0.748666666666667
17	0.00577777777777778	0.058	0.0635555555555556	0.00111111111111111	0.869777777777778	0	0	0.000222222222222222	0.00111111111111111	0.000222222222222222	0.000222222222222222	4	0.869777777777778
18	0.16	0.0613333333333333	0.670666666666667	0.000666666666666667	0.0666666666666667	0.00133333333333333	0.000666666666666667	0.002	0.0206666666666667	0.016	0	2	0.670666666666667
19	0.0146666666666667	0.917333333333333	0.044	0.000666666666666667	0.016	0	0	0	0.00733333333333333	0	0	1	0.917333333333333
20	0.00166666666666667	0.980333333333333	0.00866666666666667	0	0.007	0.00166666666666667	0	0.000666666666666667	0	0	0	1	0.980333333333333
21	0.00506666666666667	0.923733333333333	0.0608	0	0.0064	0.00133333333333333	0.000266666666666667	8e-04	0.000266666666666667	0.00133333333333333	0	1	0.923733333333333
22	0.00233333333333333	0.969333333333333	0.0133333333333333	0.000666666666666667	0.0133333333333333	0	0	0	0.001	0	0	1	0.969333333333333
23	0.00333333333333333	0.0596666666666667	0.199333333333333	0.001	0.733	0.000333333333333333	0.000333333333333333	0.000333333333333333	0.00166666666666667	0.001	0	4	0.733
24	0.00466666666666667	0.965333333333333	0.0206666666666667	0.000333333333333333	0.00533333333333333	0.000333333333333333	0.00133333333333333	0	0.002	0	0	1	0.965333333333333
25	0.002	0.968666666666667	0.0116666666666667	0.000666666666666667	0.0153333333333333	0	0	0	0.00166666666666667	0	0	1	0.968666666666667
26	0.0164444444444444	0.912	0.0475555555555556	0.000444444444444444	0.00488888888888889	0.000888888888888889	0.00133333333333333	0.000444444444444444	0.0151111111111111	0.000444444444444444	0.000444444444444444	1	0.912
27	0.011	0.106333333333333	0.494333333333333	0.000333333333333333	0.385666666666667	0.000666666666666667	0	0.000666666666666667	0.000666666666666667	0.000333333333333333	0	2	0.494333333333333
28	0.000333333333333333	0.990333333333333	0.00366666666666667	0	0.005	0	0	0.000666666666666667	0	0	0	1	0.990333333333333
29	0.00906666666666667	0.0314666666666667	0.0794666666666667	0.0741333333333333	0.0232	0.106933333333333	0.112533333333333	0.539733333333333	0.000266666666666667	0.0224	8e-04	7	0.539733333333333
30	0.0586666666666667	0	0.160444444444444	0.606222222222222	0.101333333333333	0.0333333333333333	0.00133333333333333	0.00222222222222222	0.00266666666666667	0.032	0.00177777777777778	3	0.606222222222222
31	0.0293333333333333	0.665333333333333	0.144	0.008	0.150666666666667	0	0.00133333333333333	0	0.00133333333333333	0	0	1	0.665333333333333
32	0.0293333333333333	0.670666666666667	0.0506666666666667	0.00133333333333333	0.0626666666666667	0.102666666666667	0.04	0.04	0	0.00133333333333333	0.00133333333333333	1	0.670666666666667
33	0.00233333333333333	0.962333333333333	0.017	0	0.0176666666666667	0	0	0	0.000666666666666667	0	0	1	0.962333333333333
34	0.113	0.136	0.0716666666666667	0.096	0.002	0.449333333333333	0.0103333333333333	0.0216666666666667	0.0126666666666667	0.087	0.000333333333333333	5	0.449333333333333
35	0.0653333333333333	0.076	0.00533333333333333	0.00133333333333333	0.004	0.8	0.00666666666666667	0.0106666666666667	0.00666666666666667	0.0226666666666667	0.00133333333333333	5	0.8
36	0.00133333333333333	0.970666666666667	0.012	0.000666666666666667	0.00133333333333333	0.004	0	0	0	0.00933333333333333	0.000666666666666667	1	0.970666666666667
37	0.000888888888888889	0.978666666666667	0.00488888888888889	0	0.0155555555555556	0	0	0	0	0	0	1	0.978666666666667
38	0.122933333333333	0.0288	0.2864	0.00666666666666667	0.0816	0.352	0.0016	8e-04	0.0192	0.0989333333333333	0.00106666666666667	5	0.352
