component_0	component_1	component_2	component_3	component_4	component_5	component_6	component_7	component_8	component_9	predicted_component	max_proba
1	0.06	0.908148148148148	0.0274074074074074	0.00037037037037037	0.00259259259259259	0.00037037037037037	0.00037037037037037	0.000740740740740741	0	0	1	0.908148148148148
2	0.132222222222222	0.114074074074074	0.54962962962963	0.00111111111111111	0	0.19962962962963	0.000740740740740741	0.00037037037037037	0.00037037037037037	0.00185185185185185	2	0.54962962962963
3	0.251234567901235	0.243950617283951	0.0288888888888889	0.0962962962962963	0.0148148148148148	0.227283950617284	0.0855555555555556	0.00160493827160494	0.00185185185185185	0.0485185185185185	0	0.251234567901235
4	0.0777777777777778	0.663950617283951	0.134074074074074	0.000740740740740741	0.113086419753086	0.00740740740740741	0.000493827160493827	0	0.00222222222222222	0.000246913580246914	1	0.663950617283951
5	0.00851851851851852	0.296666666666667	0.0869135802469136	0.000123456790123457	0.0644444444444444	0.504938271604938	0.00604938271604938	0.00419753086419753	0.0276543209876543	0.000493827160493827	5	0.504938271604938
6	0.00333333333333333	0.00703703703703704	0.000740740740740741	0	0.0248148148148148	0	0	0	0.963333333333333	0.000740740740740741	8	0.963333333333333
7	0.00518518518518519	0.966111111111111	0.0157407407407407	0	0.00037037037037037	0.00314814814814815	0.00648148148148148	0.00277777777777778	0	0.000185185185185185	1	0.966111111111111
8	0.0190123456790123	0.641728395061728	0.000987654320987654	0.321234567901235	0.00320987654320988	0.0118518518518519	0.000740740740740741	0.000493827160493827	0.000246913580246914	0.000493827160493827	1	0.641728395061728
9	0.00851851851851852	0.961481481481481	0.0148148148148148	0	0.00185185185185185	0	0.00037037037037037	0.00296296296296296	0.00148148148148148	0.00851851851851852	1	0.961481481481481
10	0.00790123456790123	0.0311111111111111	0.0148148148148148	0.0108641975308642	0.0301234567901235	0.00246913580246914	0.025679012345679	0.00271604938271605	0.874074074074074	0.000246913580246914	8	0.874074074074074
11	0.00925925925925926	0.953703703703704	0.0192592592592593	0.000185185185185185	0.00555555555555556	0.00666666666666667	0.00166666666666667	0.00277777777777778	0.000925925925925926	0	1	0.953703703703704
12	0.00201058201058201	0	0.000105820105820106	0.995661375661376	0.000105820105820106	0.000105820105820106	0.00105820105820106	0.000740740740740741	0.000105820105820106	0.000105820105820106	3	0.995661375661376
13	0.0333333333333333	0.91679012345679	0.0335802469135802	0	0.0119753086419753	0.00259259259259259	0.000987654320987654	0.00037037037037037	0.000123456790123457	0.000246913580246914	1	0.91679012345679
14	0.0241975308641975	0.369012345679012	0.327654320987654	0.000246913580246914	0.103333333333333	0.163086419753086	0.00950617283950617	0.00197530864197531	0.00037037037037037	0.000617283950617284	1	0.369012345679012
15	0.0108641975308642	0.0908641975308642	0.202962962962963	0.000740740740740741	0.667654320987654	0.00469135802469136	0.000493827160493827	0.0153086419753086	0.00345679012345679	0.00296296296296296	4	0.667654320987654
16	0.0087037037037037	0.0161111111111111	0.395555555555556	0.00037037037037037	0.567037037037037	0.00888888888888889	0.000185185185185185	0.000740740740740741	0.00148148148148148	0.000925925925925926	4	0.567037037037037
17	0.00419753086419753	0.0574074074074074	0.0822222222222222	0.000617283950617284	0.0118518518518519	0.841481481481481	0.000493827160493827	0.000123456790123457	0.00135802469135802	0.000246913580246914	5	0.841481481481481
18	0.012962962962963	0.0577777777777778	0.418148148148148	0.00296296296296296	0.46037037037037	0.0114814814814815	0.00407407407407407	0.00185185185185185	0.022962962962963	0.00740740740740741	4	0.46037037037037
19	0.017037037037037	0.894074074074074	0.0355555555555556	0.00259259259259259	0.027037037037037	0.0103703703703704	0.00111111111111111	0	0.0122222222222222	0	1	0.894074074074074
20	0.0340740740740741	0.938703703703704	0.0174074074074074	0	0.00259259259259259	0.00314814814814815	0.00203703703703704	0.00203703703703704	0	0	1	0.938703703703704
21	0.0666666666666667	0.847851851851852	0.0617777777777778	0.000148148148148148	0.0182222222222222	0.00103703703703704	0.00103703703703704	0.00222222222222222	0	0.00103703703703704	1	0.847851851851852
22	0.00555555555555556	0.95962962962963	0.0105555555555556	0.000555555555555556	0.00518518518518519	0.0161111111111111	0.00037037037037037	0	0.00166666666666667	0.00037037037037037	1	0.95962962962963
23	0.00703703703703704	0.0603703703703704	0.314814814814815	0.000555555555555556	0.00796296296296296	0.605555555555556	0.000925925925925926	0	0.00222222222222222	0.000555555555555556	5	0.605555555555556
24	0.0140740740740741	0.950740740740741	0.0201851851851852	0.00037037037037037	0.00703703703703704	0.00148148148148148	0.00351851851851852	0.000185185185185185	0.00203703703703704	0.00037037037037037	1	0.950740740740741
25	0.00944444444444444	0.952037037037037	0.0140740740740741	0.00037037037037037	0.00666666666666667	0.0137037037037037	0.000185185185185185	0.00037037037037037	0.00259259259259259	0.000555555555555556	1	0.952037037037037
26	0.00469135802469136	0.896543209876543	0.0281481481481481	0.000740740740740741	0.0501234567901235	0.00518518518518519	0.0037037037037037	0.000493827160493827	0.00938271604938272	0.000987654320987654	1	0.896543209876543
27	0.244814814814815	0.0998148148148148	0.485555555555556	0	0.0222222222222222	0.146666666666667	0	0	0.000740740740740741	0.000185185185185185	2	0.485555555555556
28	0.00740740740740741	0.979814814814815	0.00537037037037037	0	0.0012962962962963	0.00425925925925926	0.00166666666666667	0	0	0.000185185185185185	1	0.979814814814815
29	0.012	0.0247407407407407	0.104444444444444	0.0823703703703704	0.00444444444444444	0.00518518518518519	0.640148148148148	0.10637037037037	0.000296296296296296	0.02	6	0.640148148148148
30	0.051358024691358	0.000246913580246914	0.156049382716049	0.585925925925926	0.0580246913580247	0.0577777777777778	0.0054320987654321	0.0145679012345679	0.00148148148148148	0.0691358024691358	3	0.585925925925926
31	0.0422222222222222	0.700740740740741	0.157037037037037	0.0037037037037037	0.00222222222222222	0.0844444444444444	0.00148148148148148	0.00518518518518519	0.000740740740740741	0.00222222222222222	1	0.700740740740741
32	0.0488888888888889	0.707407407407407	0.0637037037037037	0	0.00592592592592593	0.0296296296296296	0.0518518518518519	0.0911111111111111	0.00148148148148148	0	1	0.707407407407407
33	0.0118518518518519	0.954814814814815	0.0105555555555556	0.00037037037037037	0.0062962962962963	0.0138888888888889	0.000185185185185185	0.00037037037037037	0.0012962962962963	0.00037037037037037	1	0.954814814814815
34	0.0242592592592593	0.153703703703704	0.0475925925925926	0.092037037037037	0.0414814814814815	0.00111111111111111	0.0262962962962963	0.593888888888889	0.00944444444444444	0.0101851851851852	7	0.593888888888889
35	0.0162962962962963	0.0192592592592593	0	0	0.00444444444444444	0	0.000740740740740741	0.951851851851852	0.000740740740740741	0.00666666666666667	7	0.951851851851852
36	0.00555555555555556	0.957407407407407	0.017037037037037	0.000740740740740741	0.00222222222222222	0.00037037037037037	0.00037037037037037	0.00296296296296296	0	0.0133333333333333	1	0.957407407407407
37	0.0167901234567901	0.963950617283951	0.00666666666666667	0	0	0.0111111111111111	0	0.000246913580246914	0.000493827160493827	0.000740740740740741	1	0.963950617283951
38	0.189925925925926	0.0705185185185185	0.504888888888889	0.00918518518518519	0.026962962962963	0.0442962962962963	0.00148148148148148	0.0914074074074074	0.0262222222222222	0.0351111111111111	2	0.504888888888889
39	0.181481481481481	0.00222222222222222	0.000740740740740741	0.379259259259259	0.000740740740740741	0.00148148148148148	0.334814814814815	0.0955555555555556	0.000740740740740741	0.00296296296296296	3	0.379259259259259
40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NaN	NA
41	0.154567901234568	0.0459259259259259	0.725925925925926	0.000246913580246914	0.0128395061728395	0.0555555555555556	0.000493827160493827	0	0.000987654320987654	0.00345679012345679	2	0.725925925925926
42	0.0062962962962963	0.0285185185185185	0.851296296296296	0.000185185185185185	0.0207407407407407	0.037962962962963	0.0425925925925926	0.0037037037037037	0.00314814814814815	0.00555555555555556	2	0.851296296296296
43	0.0227777777777778	0.377037037037037	0.0937037037037037	0	0.000185185185185185	0.472592592592593	0.00351851851851852	0.0218518518518519	0.00796296296296296	0.00037037037037037	5	0.472592592592593
44	0.00172839506172839	0.969876543209877	0.0082716049382716	0.000493827160493827	0.00308641975308642	0.0146913580246914	0.000123456790123457	0.00037037037037037	0.000740740740740741	0.000617283950617284	1	0.969876543209877
45	0.0148148148148148	0.185185185185185	0.157777777777778	0.00148148148148148	0.238518518518519	0.02	0.000740740740740741	0.319259259259259	0.00518518518518519	0.057037037037037	7	0.319259259259259
46	0.0116666666666667	0.0253703703703704	0.0155555555555556	0.047962962962963	0.0107407407407407	0.000555555555555556	0.00592592592592593	0.863888888888889	0.00314814814814815	0.0151851851851852	7	0.863888888888889
47	0.00851851851851852	0.74283950617284	0.157037037037037	0.00037037037037037	0.0639506172839506	0.00753086419753086	0.00308641975308642	0.00246913580246914	0.00419753086419753	0.01	1	0.74283950617284
48	0.00603174603174603	0.0368253968253968	0.507195767195767	0.0714285714285714	0.0105820105820106	0.0286772486772487	0.0518518518518519	0.282962962962963	0.00275132275132275	0.00169312169312169	2	0.507195767195767
49	0.0135802469135802	0.961234567901235	0.00888888888888889	0	0.000740740740740741	0.0150617283950617	0	0.000246913580246914	0.000246913580246914	0	1	0.961234567901235
50	0.00567901234567901	0.968888888888889	0.00839506172839506	0	0.000246913580246914	0.0162962962962963	0.000246913580246914	0	0	0.000246913580246914	1	0.968888888888889
51	0.00185185185185185	0.953950617283951	0.00234567901234568	0.000246913580246914	0.00407407407407407	0.02	0.000740740740740741	0.000617283950617284	0.0145679012345679	0.00160493827160494	1	0.953950617283951
52	0.0111111111111111	0.366296296296296	0.297777777777778	0.0188888888888889	0.0392592592592593	0.00407407407407407	0.0151851851851852	0.204444444444444	0.0107407407407407	0.0322222222222222	1	0.366296296296296
53	0.00237037037037037	0.975703703703704	0.00711111111111111	0.000296296296296296	0.00251851851851852	0.00266666666666667	0.00207407407407407	0.00325925925925926	0.00148148148148148	0.00251851851851852	1	0.975703703703704
54	0.0292592592592593	0.951111111111111	0.00962962962962963	0.000555555555555556	0.00037037037037037	0.00833333333333333	0.000185185185185185	0	0.000185185185185185	0.00037037037037037	1	0.951111111111111
55	0.00567901234567901	0.95679012345679	0.00567901234567901	0.000246913580246914	0.00123456790123457	0.00592592592592593	0.000246913580246914	0.00790123456790123	0.00938271604938272	0.00691358024691358	1	0.95679012345679
56	0.00888888888888889	0.102962962962963	0.317037037037037	0.0822222222222222	0.0411111111111111	0.0140740740740741	0.0214814814814815	0.168888888888889	0.0137037037037037	0.22962962962963	2	0.317037037037037
57	0.00037037037037037	0.97	0.00444444444444444	0	0.00537037037037037	0.00333333333333333	0.00240740740740741	0.00259259259259259	0.00740740740740741	0.00407407407407407	1	0.97
58	0.00425925925925926	0.972037037037037	0.0116666666666667	0.000185185185185185	0.000740740740740741	0.00740740740740741	0.00222222222222222	0.0012962962962963	0.000185185185185185	0	1	0.972037037037037
59	0.012962962962963	0.963888888888889	0.0107407407407407	0	0	0.0087037037037037	0.00111111111111111	0.00240740740740741	0.000185185185185185	0	1	0.963888888888889
60	0.0151851851851852	0.106296296296296	0.756296296296296	0.0105555555555556	0.0272222222222222	0.0337037037037037	0.0103703703703704	0.032037037037037	0.00185185185185185	0.00648148148148148	2	0.756296296296296
61	0.00777777777777778	0	0.027037037037037	0.0311111111111111	0.000740740740740741	0.00592592592592593	0.881851851851852	0.0296296296296296	0.0144444444444444	0.00148148148148148	6	0.881851851851852
62	0.0133333333333333	0.762222222222222	0.0148148148148148	0.185185185185185	0.00711111111111111	0.0128888888888889	0.000740740740740741	0.000296296296296296	0.00207407407407407	0.00133333333333333	1	0.762222222222222
63	0.0133333333333333	0.936296296296296	0.0371851851851852	0.000444444444444444	0.000444444444444444	0.00533333333333333	0.00385185185185185	0.00266666666666667	0	0.000444444444444444	1	0.936296296296296
64	0.00481481481481482	0.945185185185185	0.0164814814814815	0	0.015	0.0037037037037037	0.00574074074074074	0.00166666666666667	0.00555555555555556	0.00185185185185185	1	0.945185185185185
65	0.0118518518518519	0.00296296296296296	0.0037037037037037	0.00222222222222222	0.0192592592592593	0.00222222222222222	0.544444444444444	0.228148148148148	0.182962962962963	0.00222222222222222	6	0.544444444444444
66	0.0231111111111111	0.767851851851852	0.00903703703703704	0.0277037037037037	0.00518518518518519	0.00844444444444445	0.153185185185185	0.000888888888888889	0.00177777777777778	0.00281481481481482	1	0.767851851851852
67	0.00681481481481482	0.0717037037037037	0.0228148148148148	0.000148148148148148	0.00192592592592593	0.894666666666667	0.000444444444444444	0.000888888888888889	0.000592592592592593	0	5	0.894666666666667
68	0.0151851851851852	0.892962962962963	0.0244444444444444	0.00037037037037037	0.022962962962963	0.00222222222222222	0.01	0.0118518518518519	0.00962962962962963	0.0103703703703704	1	0.892962962962963
69	0.00611111111111111	0.000185185185185185	0.113703703703704	0	0.00314814814814815	0.000555555555555556	0.859814814814815	0.00425925925925926	0.0116666666666667	0.000555555555555556	6	0.859814814814815
