component_0	component_1	component_2	component_3	component_4	component_5	component_6	predicted_component	max_proba
1	0.00571428571428571	0.932380952380952	0.0452380952380952	0.0157142857142857	0.000952380952380952	0	0	1	0.932380952380952
2	0.313809523809524	0.13	0.0128571428571429	0.541428571428571	0	0.00142857142857143	0.000476190476190476	3	0.541428571428571
3	0.104444444444444	0.49015873015873	0.136031746031746	0.242380952380952	0.00555555555555555	0.00619047619047619	0.0152380952380952	1	0.49015873015873
4	0.039047619047619	0.575238095238095	0.348571428571429	0.0333333333333333	0.00380952380952381	0	0	1	0.575238095238095
5	0.0196825396825397	0.445396825396825	0.104285714285714	0.387619047619048	0.0406349206349206	0.00174603174603175	0.000634920634920635	1	0.445396825396825
6	0.00428571428571429	0.00523809523809524	0.00857142857142857	0	0.97952380952381	0	0.00238095238095238	4	0.97952380952381
7	0.00761904761904762	0.976666666666667	0.00738095238095238	0.00785714285714286	0	0.000476190476190476	0	1	0.976666666666667
8	0.0523809523809524	0.656825396825397	0.232063492063492	0.0447619047619048	0.00349206349206349	0.00349206349206349	0.00698412698412698	1	0.656825396825397
9	0.00238095238095238	0.976666666666667	0.0104761904761905	0.0019047619047619	0	0.00809523809523809	0.000476190476190476	1	0.976666666666667
10	0.0180952380952381	0.0793650793650794	0.0517460317460317	0.0136507936507936	0.828253968253968	0.000317460317460317	0.00857142857142857	4	0.828253968253968
11	0.00595238095238095	0.952380952380952	0.0235714285714286	0.0166666666666667	0.000714285714285714	0.000714285714285714	0	1	0.952380952380952
12	0.0133333333333333	0.87	0.0966666666666667	0.0180952380952381	0.000634920634920635	0.00126984126984127	0	1	0.87
13	0.0393650793650794	0.39952380952381	0.25952380952381	0.300634920634921	0.000317460317460317	0.000476190476190476	0.000158730158730159	1	0.39952380952381
14	0.0942857142857143	0.0933333333333333	0.766984126984127	0.04	0.00349206349206349	0.000952380952380952	0.000952380952380952	2	0.766984126984127
15	0.12452380952381	0.0195238095238095	0.8	0.05	0.00238095238095238	0.00357142857142857	0	2	0.8
16	0.00873015873015873	0.11	0.0395238095238095	0.836507936507937	0.00126984126984127	0.00365079365079365	0.000317460317460317	3	0.836507936507937
17	0.126190476190476	0.105238095238095	0.661428571428571	0.0676190476190476	0.0138095238095238	0.0257142857142857	0	2	0.661428571428571
18	0.0161904761904762	0.874761904761905	0.080952380952381	0.0204761904761905	0.00714285714285714	0	0.000476190476190476	1	0.874761904761905
19	0.00452380952380952	0.967142857142857	0.015	0.0133333333333333	0	0	0	1	0.967142857142857
20	0.0171428571428571	0.83047619047619	0.131428571428571	0.0194285714285714	0	0.00152380952380952	0	1	0.83047619047619
21	0.00452380952380952	0.940714285714286	0.0245238095238095	0.0266666666666667	0.0030952380952381	0.000476190476190476	0	1	0.940714285714286
22	0.0119047619047619	0.121190476190476	0.0338095238095238	0.818333333333333	0.00261904761904762	0.0119047619047619	0.000238095238095238	3	0.818333333333333
23	0.00761904761904762	0.936428571428571	0.0419047619047619	0.0121428571428571	0.0019047619047619	0	0	1	0.936428571428571
24	0.00380952380952381	0.944047619047619	0.0192857142857143	0.0311904761904762	0.00166666666666667	0	0	1	0.944047619047619
25	0.013968253968254	0.843809523809524	0.112063492063492	0.00761904761904762	0.0215873015873016	0.000317460317460317	0.000634920634920635	1	0.843809523809524
