component_0	component_1	component_2	component_3	component_4	component_5	component_6	component_7	component_8	component_9	component_10	predicted_component	max_proba
1	0.160666666666667	0.806	0.0213333333333333	0.000666666666666667	0.000666666666666667	0.008	0	0	0.00133333333333333	0.000666666666666667	0.000666666666666667	1	0.806
2	0.706666666666667	0.0613333333333333	0.0706666666666667	0	0.159333333333333	0	0.000666666666666667	0	0.000666666666666667	0.000666666666666667	0	0	0.706666666666667
3	0.207777777777778	0.244	0.0204444444444444	0.111555555555556	0.276888888888889	0.0131111111111111	0.00133333333333333	0.0315555555555556	0.00222222222222222	0.0902222222222222	0.000888888888888889	4	0.276888888888889
4	0.156444444444444	0.588444444444444	0.126222222222222	0.000888888888888889	0.00977777777777778	0.112	0.000888888888888889	0.000444444444444444	0.00488888888888889	0	0	1	0.588444444444444
5	0.0288888888888889	0.312888888888889	0.0873333333333333	0.000888888888888889	0.475333333333333	0.0555555555555556	0.00244444444444444	0.00244444444444444	0.0326666666666667	0.000888888888888889	0.000666666666666667	4	0.475333333333333
6	0.00333333333333333	0.00466666666666667	0.00133333333333333	0	0	0.02	0	0	0.964666666666667	0.00466666666666667	0.00133333333333333	8	0.964666666666667
7	0.0536666666666667	0.917333333333333	0.0123333333333333	0.000333333333333333	0.007	0.000333333333333333	0.003	0.00566666666666667	0.000333333333333333	0	0	1	0.917333333333333
8	0.0728888888888889	0.592	0.000888888888888889	0.316888888888889	0.0115555555555556	0.004	0	0.000444444444444444	0.000444444444444444	0.000888888888888889	0	1	0.592
9	0.0513333333333333	0.911333333333333	0.0166666666666667	0	0	0.00266666666666667	0.00466666666666667	0.000666666666666667	0	0.0126666666666667	0	1	0.911333333333333
10	0.00711111111111111	0.0204444444444444	0.016	0.012	0.00355555555555556	0.0213333333333333	0.00266666666666667	0.0173333333333333	0.899111111111111	0	0.000444444444444444	8	0.899111111111111
11	0.07	0.897333333333333	0.0163333333333333	0.000333333333333333	0.00733333333333333	0.006	0.001	0.000333333333333333	0.001	0	0.000333333333333333	1	0.897333333333333
12	0.00380952380952381	0	0.00019047619047619	0.994095238095238	0.00019047619047619	0	0.000952380952380952	0.000761904761904762	0	0	0	3	0.994095238095238
13	0.135111111111111	0.821333333333333	0.0266666666666667	0	0.00133333333333333	0.0122222222222222	0	0.00133333333333333	0.000444444444444444	0.00133333333333333	0.000222222222222222	1	0.821333333333333
14	0.0706666666666667	0.328444444444444	0.226888888888889	0.000888888888888889	0.258222222222222	0.106	0.00222222222222222	0.00555555555555555	0	0.00111111111111111	0	1	0.328444444444444
15	0.0408888888888889	0.0684444444444444	0.220444444444444	0.000888888888888889	0.00888888888888889	0.635111111111111	0.0213333333333333	0.000888888888888889	0.00222222222222222	0.000888888888888889	0	5	0.635111111111111
16	0.0326666666666667	0.0133333333333333	0.407	0.000333333333333333	0.00966666666666667	0.533333333333333	0.000333333333333333	0	0.002	0.00133333333333333	0	5	0.533333333333333
17	0.0115555555555556	0.0517777777777778	0.0482222222222222	0.000444444444444444	0.876444444444444	0.01	0	0	0.00133333333333333	0.000222222222222222	0	4	0.876444444444444
18	0.0466666666666667	0.0666666666666667	0.423333333333333	0.00266666666666667	0.0126666666666667	0.426	0.002	0	0.0126666666666667	0.00666666666666667	0.000666666666666667	5	0.426
19	0.07	0.828	0.0446666666666667	0.00133333333333333	0.00933333333333333	0.0353333333333333	0.000666666666666667	0.000666666666666667	0.01	0	0	1	0.828
20	0.127666666666667	0.856666666666667	0.00766666666666667	0.000333333333333333	0.002	0.002	0.000666666666666667	0.002	0.000333333333333333	0.000333333333333333	0.000333333333333333	1	0.856666666666667
21	0.157066666666667	0.760533333333333	0.0541333333333333	0	0.00213333333333333	0.0202666666666667	0.00213333333333333	0.00186666666666667	8e-04	0.00106666666666667	0	1	0.760533333333333
22	0.062	0.907	0.00966666666666667	0.00133333333333333	0.016	0.00266666666666667	0.000333333333333333	0	0.000666666666666667	0	0.000333333333333333	1	0.907
23	0.012	0.0643333333333333	0.189	0.000666666666666667	0.724	0.00833333333333333	0.000666666666666667	0	0.001	0	0	4	0.724
24	0.101666666666667	0.865	0.015	0.000333333333333333	0.00366666666666667	0.00666666666666667	0.000333333333333333	0.003	0.00366666666666667	0	0.000666666666666667	1	0.865
25	0.059	0.904333333333333	0.0103333333333333	0.000333333333333333	0.0153333333333333	0.00566666666666667	0	0	0.00433333333333333	0.000333333333333333	0.000333333333333333	1	0.904333333333333
26	0.0471111111111111	0.849777777777778	0.0244444444444444	0	0.00577777777777778	0.0488888888888889	0.000888888888888889	0.00266666666666667	0.0191111111111111	0.000888888888888889	0.000444444444444444	1	0.849777777777778
27	0.543333333333333	0.0833333333333333	0.208	0	0.144	0.02	0	0.000333333333333333	0.000333333333333333	0.000333333333333333	0.000333333333333333	0	0.543333333333333
28	0.04	0.949333333333333	0.00366666666666667	0	0.00366666666666667	0.002	0.000333333333333333	0.000666666666666667	0	0.000333333333333333	0	1	0.949333333333333
29	0.377066666666667	0.0253333333333333	0.0909333333333333	0.0712	0.0088	0.00533333333333333	0.107733333333333	0.294133333333333	0.000533333333333333	0.0189333333333333	0	0	0.377066666666667
30	0.0577777777777778	0	0.130222222222222	0.587555555555555	0.0706666666666667	0.0551111111111111	0.0271111111111111	0.00444444444444444	0.00311111111111111	0.0635555555555556	0.000444444444444444	3	0.587555555555555
31	0.152	0.638666666666667	0.0866666666666667	0.00666666666666667	0.105333333333333	0.00666666666666667	0	0	0.00133333333333333	0	0.00266666666666667	1	0.638666666666667
32	0.112	0.649333333333333	0.0533333333333333	0	0.048	0.00133333333333333	0.08	0.056	0	0	0	1	0.649333333333333
