CoxGLM_0	CoxGLM_1	RFS_1050_20	CoxBoost_	RFX_
1	0.563756375637564	0.566906690669067	0.575907590759076	0.566156615661566	0.564056405640564
2	0.591249449420056	0.589928057553957	0.586697988547937	0.589928057553957	0.586257524592571
3	0.598518070467261	0.599954634810222	0.616664146378346	0.599047331014668	0.595947376379858
4	0.634625597450876	0.645645246946362	0.61789697291556	0.637280934678704	0.634492830589485
5	0.548890930568316	0.550006562541016	0.531893949337183	0.548759679747998	0.55085969287308
6	0.627153687112336	0.627705031013094	0.616609235010338	0.628669882839421	0.622191592005513
7	0.595299512754371	0.595442820292347	0.581900257953568	0.594009744912582	0.593149899684723
8	0.621013900245298	0.619446715726356	0.564390842191333	0.620468792586536	0.616789315889888
9	0.599275887038378	0.601593048515568	0.590296886314265	0.599710354815351	0.600868935553946
10	0.526423357664234	0.532408759124088	0.546058394160584	0.527737226277372	0.531094890510949
11	0.615549215406562	0.617831669044222	0.620898716119829	0.617546362339515	0.61925820256776
12	0.576560041950708	0.57813319349764	0.601533822758259	0.576822233875197	0.579444153120084
13	0.634128494072882	0.635152934289477	0.612395726620811	0.633250402458656	0.627981852773306
14	0.539581066376496	0.539445048966268	0.554815016322089	0.539173014145811	0.539036996735582
15	0.60319181902696	0.603811589711807	0.535481871707468	0.603656647040595	0.598078710876976
16	0.648485660680783	0.649825783972125	0.600710265344412	0.64902170999732	0.638300723666577
17	0.560955022307971	0.561557940431689	0.567285662607018	0.560834438683227	0.561799107681177
18	0.602872357592383	0.602710989188317	0.610537356785541	0.601742778763918	0.603679199612716
19	0.558600402539093	0.561696857098622	0.550549620684316	0.559219693450999	0.559838984362904
20	0.6040786598689	0.605243991260015	0.589803350327749	0.605243991260015	0.602913328477786
21	0.594176042356056	0.589410986101919	0.58127068166777	0.593514228987426	0.595234943745864
22	0.555986622073579	0.561605351170569	0.53866220735786	0.558394648829431	0.55866220735786
23	0.595520617027588	0.599377039454168	0.600711954909522	0.597745476119846	0.592405814298428
24	0.615096600269582	0.613299385951775	0.611801707353602	0.615695671708851	0.620488243223004
25	0.593311133632547	0.595048501520197	0.585203416823512	0.594903720862893	0.59446937889098
