CoxGLM_0	CoxGLM_1	RFS_1050_20	CoxBoost_	RFX_
1	0.599038894728938	0.605195975371677	0.616909445862742	0.605045802673074	0.588977323922511
2	0.611756061719324	0.598824393828068	0.585304922850845	0.606318883174137	0.564878765613519
3	0.612177066022058	0.615802991388427	0.607493579090497	0.616407312282822	0.593745278743013
4	0.659808866471994	0.66418900982214	0.668303689938943	0.661932572338731	0.623573135120786
5	0.603634448248617	0.598367131946273	0.63155122465104	0.594680010534633	0.606004740584672
6	0.64931129476584	0.651790633608815	0.634297520661157	0.650826446280992	0.639256198347107
7	0.582867783985102	0.582151554218593	0.548345509239364	0.580719094685575	0.564245810055866
8	0.612384069830878	0.61088379705401	0.611156573922531	0.61088379705401	0.534506273867976
9	0.637998549673677	0.630456852791878	0.65221174764322	0.631907179115301	0.650181290790428
10	0.568045607367344	0.565122058178629	0.646835258003216	0.562490863908785	0.567168542610729
11	0.621482645336381	0.618054563633767	0.677331809741465	0.619340094272247	0.573489501499786
12	0.634028050858566	0.630357845064884	0.640713068554201	0.62799842705466	0.622755275920828
13	0.638998682476943	0.646025472112429	0.626116234811887	0.646611037915386	0.592446201141853
14	0.577514631822513	0.567986933442221	0.598339458282292	0.572750782632367	0.583911800734994
15	0.606842923794712	0.605132192846034	0.562519440124417	0.606842923794712	0.578382581648523
16	0.641276652809441	0.653479951723213	0.622502346788253	0.651066112377632	0.605873675740915
17	0.56659033385561	0.569362420151862	0.594070145835844	0.569603471134145	0.56478245148849
18	0.596675274370562	0.598289218850871	0.565041962556488	0.600387346675274	0.613298902517753
19	0.579045257284563	0.58230006199628	0.577960322380657	0.586794792312461	0.56478611283323
20	0.686377573368375	0.679077237552927	0.706672506935319	0.678347203971383	0.649437874142211
21	0.59851793039566	0.595474394601032	0.620748974460765	0.595739049887521	0.608310175995766
22	0.563144502477568	0.563680192848534	0.553100308021963	0.564483728404982	0.519753582429356
23	0.615601783060921	0.627191679049034	0.657503714710253	0.626448736998514	0.599405646359584
24	0.633338330085444	0.629890571128766	0.599160545645331	0.628241642932094	0.599910058462
25	0.651499782640197	0.640197072887987	0.665845529633387	0.648456745399217	0.649615997681495
