CoxGLM_0	CoxGLM_1	RFS_1050_20	CoxBoost_	RFX_
1	0.681033188166391	0.67878059768734	0.666616609100465	0.670070581168344	0.658056765280072
2	0.690227773695812	0.683614988978692	0.679353416605437	0.677443056576047	0.691991182953711
3	0.690285541622602	0.687717177821423	0.668378909200786	0.690738782293398	0.677594802840308
4	0.709450491106982	0.706928590390231	0.706663127156889	0.704672152906822	0.694850013273162
5	0.65130366078483	0.630761127205689	0.660784830129049	0.632209639188833	0.658941269423229
6	0.700550964187328	0.705096418732782	0.672314049586777	0.683195592286501	0.692837465564738
7	0.662799025927517	0.660363844721387	0.640022919352528	0.65277180919639	0.647185217017619
8	0.672667757774141	0.66557555919258	0.659983633387889	0.66025641025641	0.665030005455537
9	0.706598984771574	0.69615663524293	0.702102973168963	0.66366932559826	0.697316896301668
10	0.650343517029674	0.646250548165473	0.673001023242216	0.622423622277445	0.628855430492618
11	0.703899442936723	0.706470504213684	0.734466504785031	0.709898585916298	0.692186830452793
12	0.684624459300039	0.679774544501245	0.673875999475685	0.646611613579761	0.666011272774938
13	0.712926365100278	0.715854194115064	0.692724344898258	0.690528473137169	0.687015078319426
14	0.648836259697836	0.646386280114332	0.658908397985572	0.632911392405063	0.631958622567034
15	0.633903576982893	0.616951788491446	0.622861586314152	0.614463452566096	0.643234836702955
16	0.685128067587502	0.674936301461714	0.659648652273032	0.673192973045461	0.680702695453936
17	0.65758707966735	0.649511871760877	0.664577558153549	0.644690852115222	0.632517777509943
18	0.626694641704325	0.628954163976759	0.618302130406714	0.609264041316979	0.627824402840542
19	0.696838189708617	0.693273403595784	0.676379417234966	0.668164910105394	0.664910105393676
20	0.744488246459337	0.740838078551613	0.757044824061907	0.731347641991532	0.741130091984231
21	0.675003308191081	0.673944687045124	0.660844250363901	0.647479158396189	0.650655021834061
22	0.637873309227267	0.632114637739387	0.642694522565957	0.632382482924869	0.617784920316057
23	0.707578008915305	0.709955423476969	0.704011887072808	0.7	0.693610698365527
24	0.660620596612202	0.660170888922201	0.629440863438765	0.657172837655524	0.654324688952181
25	0.70598463990726	0.696420808578467	0.707578611795392	0.683813940008694	0.702361976525141
