CoxGLM_0	CoxGLM_0.1	CoxGLM_0.2	CoxGLM_0.3	CoxGLM_0.4	CoxGLM_0.5	CoxGLM_0.6	CoxGLM_0.7	CoxGLM_0.8	CoxGLM_0.9	CoxGLM_1	RFS_1050_20	CoxBoost_	RFX_
1	0.569854053982918	0.569854053982918	0.569854053982918	0.569854053982918	0.569854053982918	0.569854053982918	0.569854053982918	0.569854053982918	0.569854053982918	0.569854053982918	0.569854053982918	0.56197770671299	0.569854053982918	0.569854053982918
2	0.58118884351645	0.58118884351645	0.58118884351645	0.58118884351645	0.58118884351645	0.58118884351645	0.58118884351645	0.58118884351645	0.58118884351645	0.58118884351645	0.58118884351645	0.582113413976423	0.58118884351645	0.58118884351645
3	0.605736900634526	0.605736900634526	0.605736900634526	0.605736900634526	0.605736900634526	0.605736900634526	0.605736900634526	0.605736900634526	0.605736900634526	0.605736900634526	0.605736900634526	0.606050892915549	0.602963302152155	0.605736900634526
4	0.564024878543591	0.564024878543591	0.564024878543591	0.564024878543591	0.564024878543591	0.564024878543591	0.564024878543591	0.564024878543591	0.564024878543591	0.564024878543591	0.564024878543591	0.563537718221131	0.564024878543591	0.564024878543591
5	0.566438931959808	0.566438931959808	0.566438931959808	0.566438931959808	0.566438931959808	0.566438931959808	0.566438931959808	0.566438931959808	0.566438931959808	0.566438931959808	0.566438931959808	0.548578214862358	0.566438931959808	0.566438931959808
6	0.569869242460402	0.569869242460402	0.569869242460402	0.569869242460402	0.569869242460402	0.569869242460402	0.569869242460402	0.569869242460402	0.569869242460402	0.569869242460402	0.569869242460402	0.570133018476882	0.569869242460402	0.572808460929748
7	0.560979828623131	0.560979828623131	0.560979828623131	0.560979828623131	0.560979828623131	0.560979828623131	0.560979828623131	0.560979828623131	0.560979828623131	0.560979828623131	0.560979828623131	0.579887168023844	0.560979828623131	0.560979828623131
8	0.594817797729073	0.594817797729073	0.594817797729073	0.594817797729073	0.594817797729073	0.594817797729073	0.594817797729073	0.594817797729073	0.594817797729073	0.594817797729073	0.594817797729073	0.611282017428043	0.594817797729073	0.594817797729073
9	0.570553256458676	0.570553256458676	0.570553256458676	0.570553256458676	0.570553256458676	0.570553256458676	0.570553256458676	0.570553256458676	0.570553256458676	0.570553256458676	0.570553256458676	0.576057696170999	0.570553256458676	0.570553256458676
10	0.587993585888956	0.587993585888956	0.587993585888956	0.587993585888956	0.587993585888956	0.587993585888956	0.587993585888956	0.587993585888956	0.587993585888956	0.587993585888956	0.587993585888956	0.586229705351774	0.587993585888956	0.587993585888956
