,coef,feature,n
t_1_14,-3.25462167668479,t_1_14,100
t_1_16,2.2977174957887465,t_1_16,100
t_1_17,-33.76497058854629,t_1_17,100
t_1_19,21.152378324042072,t_1_19,100
t_1_3,-32.856250697863665,t_1_3,100
t_1_4,-12.314515742908569,t_1_4,100
t_1_5,-21.203902092664496,t_1_5,100
t_1_6,5.316948578376139,t_1_6,100
t_2_17,-3.328820060515411,t_2_17,100
t_2_3,-18.864377751686032,t_2_3,100
t_2_5,18.347880784677493,t_2_5,100
t_2_7,38.06263154268102,t_2_7,100
t_2_9,23.68434373508773,t_2_9,100
t_3_16,15.688890193145122,t_3_16,100
t_3_21,-38.06535968899401,t_3_21,100
t_3_5,1.9904093029698373,t_3_5,100
t_3_7,23.99418277440605,t_3_7,100
t_3_9,0.8875195887822022,t_3_9,100
t_4_12,39.69609947350162,t_4_12,100
t_4_21,53.79038578015921,t_4_21,100
t_4_9,-26.989748905948822,t_4_9,100
t_5_12,33.94446852559969,t_5_12,100
t_5_17,17.107554046113517,t_5_17,100
t_5_9,12.198879775391012,t_5_9,100
t_6_9,16.906250753858938,t_6_9,100
t_7_16,-36.985742071832654,t_7_16,100
t_7_17,33.840872812216055,t_7_17,100
t_7_8,42.398652663147764,t_7_8,100
t_8_10,17.505189801148312,t_8_10,100
t_8_13,-50.433955680626894,t_8_13,100
t_8_16,-49.44179048638038,t_8_16,100
t_8_17,-3.7893749848684037,t_8_17,100
t_8_21,46.75860595677005,t_8_21,100
t_9_11,-21.373467084537154,t_9_11,100
t_9_13,-22.03042889044692,t_9_13,100
t_9_17,54.783669350825605,t_9_17,100
t_9_22,50.043653404324346,t_9_22,100
t_v_11,-7.019634974259235,t_v_11,100
