,coef,feature,n
t_5_12,33.21356282245837,t_5_12,100
t_5_17,-0.05302880702048933,t_5_17,100
t_5_9,30.236831386813343,t_5_9,100
t_6_9,2.802195265264178,t_6_9,100
t_7_16,-38.21730348844155,t_7_16,100
t_7_17,23.839959031581316,t_7_17,100
t_7_8,25.68554429831114,t_7_8,100
t_8_10,15.364752934746429,t_8_10,100
t_8_13,-41.68229225198413,t_8_13,100
t_8_16,-57.76820166221267,t_8_16,100
t_8_17,-8.23376484336732,t_8_17,100
t_8_21,11.98686480807734,t_8_21,100
t_9_11,-24.878635493519926,t_9_11,100
t_9_13,11.867752607150475,t_9_13,100
t_9_17,46.763653156080615,t_9_17,100
t_9_22,57.579257890406936,t_9_22,100
t_v_11,-13.878011438061442,t_v_11,100
wbc,-0.1358805004056169,wbc,100
