,coef,feature,n
ASXL1,-10.408397128358923,ASXL1,100
ASXL2,-2.527686379703146,ASXL2,100
ASXL3,-2.5782260066119984,ASXL3,100
ATRX,-4.576747622699873,ATRX,100
BAGE3,2.52995398909834,BAGE3,100
BCOR,-1.6729888268148358,BCOR,100
BRAF,-4.989287197767472,BRAF,100
CBFB,-0.6398945236116224,CBFB,100
CBL,-2.986866582827786,CBL,100
CDKN2A,-1.8216591267862812,CDKN2A,100
CEBPA_bi,-3.3639520026705148,CEBPA_bi,100
CEBPA_mono,1.1135360037659943,CEBPA_mono,100
CNTN5,-1.692908305734947,CNTN5,100
CREBBP,3.1342311754872982,CREBBP,100
CSF1R,-2.668497672598125,CSF1R,100
CSF3R,-2.0287053696119037,CSF3R,100
CTCF,-5.614954533604989,CTCF,100
CUL2,1.2338036220820343,CUL2,100
CUX1,-8.736011609573081,CUX1,100
DNMT3A,-6.155819060110353,DNMT3A,100
EED,-6.116583307186432,EED,100
ETV6,1.45062713448694,ETV6,100
EZH2,-10.51860791297143,EZH2,100
FBXW7,4.076111480714341,FBXW7,100
FLT3_TKD,0.7252356742398507,FLT3_TKD,100
FLT3_other,-0.95287460138671,FLT3_other,100
GATA1,5.020479405262854,GATA1,100
GATA2,6.219121085732414,GATA2,100
GNAS,4.498999516962481,GNAS,100
GNB1,2.042955978821149,GNB1,100
IDH1,-0.5363183152547412,IDH1,100
IDH2_p.R140,-2.394214391768388,IDH2_p.R140,100
IDH2_p.R172,9.05489178536659,IDH2_p.R172,100
ITD,-12.159830198543172,ITD,100
JAK2,-6.666799230426052,JAK2,100
JAK3,0.31173611514099253,JAK3,100
KANSL1,2.7394533581688156,KANSL1,100
KDM6A,-3.9655435711655502,KDM6A,100
KIT,3.0679078221162794,KIT,100
KMT2C,2.52995398909834,KMT2C,100
KMT2D,-3.1636048873379043,KMT2D,100
KMT2E,3.302755553674256,KMT2E,100
KRAS,-4.749961606101875,KRAS,100
LUC7L2,-2.857181219129288,LUC7L2,100
MED12,-2.96701660385588,MED12,100
MLL,-1.8880246425551557,MLL,100
MPL,-10.73624250711015,MPL,100
MYC,1.263041042248131,MYC,100
NF1,2.164244776939639,NF1,100
NFE2,7.3534387679885755,NFE2,100
NOTCH1,1.8052939230448246,NOTCH1,100
NPM1,-12.479537300388214,NPM1,100
NRAS_other,-2.5288512370434035,NRAS_other,100
NRAS_p.G12_13,-1.1117627671871961,NRAS_p.G12_13,100
NRAS_p.Q61_62,-9.275806212322628,NRAS_p.Q61_62,100
PDS5B,3.899198795750101,PDS5B,100
PHF6,-2.2370348101095727,PHF6,100
PPFIA2,-0.07157359736185702,PPFIA2,100
PRPF8,-3.6839057980420846,PRPF8,100
PTEN,1.5060181859361785,PTEN,100
PTPN11,7.438270025530541,PTPN11,100
PTPRF,-0.07157359736185702,PTPRF,100
PTPRT,-3.368903846088391,PTPRT,100
RAD21,2.203422493365152,RAD21,100
RIT1,6.184434675225125,RIT1,100
RUNX1,-0.6621168915754435,RUNX1,100
S100B,1.3621916334189397,S100B,100
SETBP1,-7.543521847518815,SETBP1,100
SF1,-6.45565534576589,SF1,100
SF3B1,-14.006500630963185,SF3B1,100
SMC1A,-7.0297747915615325,SMC1A,100
SMC3,-1.4148198668891456,SMC3,100
SMG1,0.04549584146109425,SMG1,100
SPP1,1.2940687533089459,SPP1,100
SRSF2,-14.343478146092801,SRSF2,100
STAG2,-0.5285261082665228,STAG2,100
STAT5B,-0.38582235712770174,STAT5B,100
SUZ12,-0.27296774613873176,SUZ12,100
TET2,-14.610145927360687,TET2,100
TP53,-25.334393160685718,TP53,100
U2AF1_p.Q157,-15.99115967588369,U2AF1_p.Q157,100
U2AF1_p.S34,-7.602642420138675,U2AF1_p.S34,100
WT1,-7.910476954567425,WT1,100
ZRSR2,-3.1109262081891154,ZRSR2,100
add_11,-8.750669294679433,add_11,100
add_13,-2.9931797267392843,add_13,100
add_21,-0.3405622405496163,add_21,100
add_22,10.69103845670335,add_22,100
add_8,-0.7742705543273665,add_8,100
complex,-9.14931097958659,complex,100
del_12,-4.012048766284508,del_12,100
del_13,9.804191020396251,del_13,100
del_16,-1.7954659610159438,del_16,100
del_17,-9.022251031771395,del_17,100
del_18,3.6260557671614237,del_18,100
del_20,-3.0860844068974225,del_20,100
del_3,0.7740573098849017,del_3,100
del_5,-11.163221433104843,del_5,100
del_7,-7.871911578509038,del_7,100
del_9,-4.913393475722113,del_9,100
eln_2017_ratio,15.850260072515523,eln_2017_ratio,100
inv_3,-10.610555740576983,inv_3,100
minusy,-2.0160480730716546,minusy,100
others_transloc,-6.2295939959273685,others_transloc,100
t_10_21,1.2384567144261696,t_10_21,100
t_12_13,2.92790666863211,t_12_13,100
t_12_17,1.8640027619430914,t_12_17,100
t_12_22,2.7312590318480603,t_12_22,100
t_13_19,2.542177226616696,t_13_19,100
t_15_16,1.5039081221128536,t_15_16,100
t_15_17,14.319741435035265,t_15_17,100
t_16_17,0.1855377806632041,t_16_17,100
t_16_21,-3.8886196616061355,t_16_21,100
t_17_19,1.6741743246210814,t_17_19,100
t_17_21,3.141378378043342,t_17_21,100
t_1_12,0.7754345517672596,t_1_12,100
t_1_14,-0.6422011203754167,t_1_14,100
t_1_16,-0.8800290951001181,t_1_16,100
t_1_17,-2.4587153160886173,t_1_17,100
t_1_19,1.5559659544880071,t_1_19,100
t_1_3,-4.018947187066296,t_1_3,100
t_1_4,-1.11292732274487,t_1_4,100
t_1_5,-2.641056356474396,t_1_5,100
t_1_6,-1.094309950607239,t_1_6,100
t_2_17,-0.6018398820582114,t_2_17,100
t_2_3,-1.3548204495550382,t_2_3,100
t_2_5,2.0074083192711476,t_2_5,100
t_2_7,3.046160047460026,t_2_7,100
t_2_9,2.2042331406445106,t_2_9,100
t_3_16,2.0625491045295603,t_3_16,100
t_3_21,-4.395324041680482,t_3_21,100
t_3_5,0.9547286880800491,t_3_5,100
t_3_7,0.8053827708469664,t_3_7,100
t_3_9,-0.2637587543507296,t_3_9,100
t_4_12,2.6946133425785876,t_4_12,100
t_4_21,3.2084395161169286,t_4_21,100
t_4_9,-2.54605899325347,t_4_9,100
t_5_12,2.9230010197397953,t_5_12,100
t_5_17,0.1561795941481441,t_5_17,100
t_5_9,1.2454051063303906,t_5_9,100
t_6_9,5.967765937896231,t_6_9,100
t_7_16,-2.3151077545670242,t_7_16,100
t_7_17,2.0804751172156632,t_7_17,100
t_7_8,3.048278997230188,t_7_8,100
t_8_10,1.2384567144261696,t_8_10,100
t_8_13,-5.091712369191101,t_8_13,100
t_8_16,-5.874824133073164,t_8_16,100
t_8_17,-0.6067930906983143,t_8_17,100
t_8_21,13.998587185768534,t_8_21,100
t_9_11,-4.928549436866017,t_9_11,100
t_9_13,-1.9958170925522172,t_9_13,100
t_9_17,3.6432724621303265,t_9_17,100
t_9_22,7.931000547321093,t_9_22,100
t_v_11,0.20644028490903,t_v_11,100
