,coef,feature,n
ASXL1,-8.710758172501103,ASXL1,100
ASXL2,-1.364068026800255,ASXL2,100
ASXL3,-30.40482456054022,ASXL3,100
ATRX,-17.690446027562587,ATRX,100
BAGE3,12.772329026728444,BAGE3,100
BCOR,-6.029507508172646,BCOR,100
BRAF,-22.313530017532024,BRAF,100
CBFB,-19.035684167164728,CBFB,100
CBL,-4.891115319556738,CBL,100
CDKN2A,-10.843599667636557,CDKN2A,100
CEBPA_bi,22.11918696707873,CEBPA_bi,100
CEBPA_mono,-0.2574564316110098,CEBPA_mono,100
CNTN5,-13.956189689255305,CNTN5,100
CREBBP,29.547521312521706,CREBBP,100
CSF1R,-29.103489110097033,CSF1R,100
CSF3R,-3.891158839440112,CSF3R,100
CTCF,-23.231725940214336,CTCF,100
CUL2,32.710130156841196,CUL2,100
CUX1,-11.80035997432011,CUX1,100
DNMT3A,-8.284714618522512,DNMT3A,100
EED,-29.302126362014896,EED,100
ETV6,-1.618622824613569,ETV6,100
EZH2,-10.55138000505289,EZH2,100
FBXW7,5.820676040611535,FBXW7,100
FLT3_TKD,4.213072903395009,FLT3_TKD,100
FLT3_other,0.8020551564194007,FLT3_other,100
GATA1,33.509013725319825,GATA1,100
GATA2,9.575379241568093,GATA2,100
GNAS,23.858428815097685,GNAS,100
GNB1,11.6777545789569,GNB1,100
IDH1,-2.353174127031703,IDH1,100
IDH2_p.R140,-5.086167364420307,IDH2_p.R140,100
IDH2_p.R172,5.667555468018361,IDH2_p.R172,100
ITD,-11.20885083877927,ITD,100
JAK2,-0.9420338503137988,JAK2,100
JAK3,-2.8153519664108284,JAK3,100
KANSL1,1.752215198121738,KANSL1,100
KDM6A,-9.495246662149244,KDM6A,100
KIT,4.743949185532984,KIT,100
KMT2C,12.772329026728444,KMT2C,100
KMT2D,-1.7025495357467735,KMT2D,100
KMT2E,11.918052790682511,KMT2E,100
KRAS,-4.338083171028225,KRAS,100
LUC7L2,-16.053222982661104,LUC7L2,100
MED12,1.5323025789927245,MED12,100
MLL,-10.433092097099006,MLL,100
MPL,-31.879215039474587,MPL,100
MYC,-1.7597069330575845,MYC,100
NF1,9.448307264360736,NF1,100
NFE2,48.438285843714866,NFE2,100
NOTCH1,5.823637065275086,NOTCH1,100
NPM1,4.559725471192571,NPM1,100
NRAS_other,-6.611778960432576,NRAS_other,100
NRAS_p.G12_13,0.8015657346741664,NRAS_p.G12_13,100
NRAS_p.Q61_62,-7.811874331151875,NRAS_p.Q61_62,100
PDS5B,44.53748503472894,PDS5B,100
PHF6,-3.776844563493925,PHF6,100
PPFIA2,-6.48743521116723,PPFIA2,100
PRPF8,-24.864902119774655,PRPF8,100
PTEN,20.326496329066984,PTEN,100
PTPN11,9.912393235790416,PTPN11,100
PTPRF,-6.48743521116723,PTPRF,100
PTPRT,-43.489601269482755,PTPRT,100
RAD21,0.666014399755163,RAD21,100
RIT1,11.707253532907774,RIT1,100
RUNX1,-4.915148613124392,RUNX1,100
S100B,23.9860274811997,S100B,100
SETBP1,-3.3849144817515024,SETBP1,100
SF1,-48.85101592860712,SF1,100
SF3B1,-21.953329911297235,SF3B1,100
SMC1A,-10.24956543951483,SMC1A,100
SMC3,-5.884959362440826,SMC3,100
SMG1,2.7184982815049725,SMG1,100
SPP1,16.193717738078146,SPP1,100
SRSF2,-11.685982262809192,SRSF2,100
STAG2,2.0263565959392635,STAG2,100
STAT5B,9.070198276140026,STAT5B,100
SUZ12,5.5422085684679026,SUZ12,100
TET2,-11.994929033781725,TET2,100
TP53,-31.153906504622647,TP53,100
U2AF1_p.Q157,-30.039970415752215,U2AF1_p.Q157,100
U2AF1_p.S34,-13.117213614818914,U2AF1_p.S34,100
WT1,-17.462980128334678,WT1,100
ZRSR2,-7.125050937986778,ZRSR2,100
add_11,-16.516319586314673,add_11,100
add_13,-5.645074272452184,add_13,100
add_21,-6.014906828718954,add_21,100
add_22,20.334274830368877,add_22,100
add_8,-0.48336665858714256,add_8,100
ahd,22.175293559621764,ahd,100
bm_blasts,-0.1098735126265664,bm_blasts,100
complex,8.664840758148225,complex,100
del_12,-5.3868285818906445,del_12,100
del_13,27.606062358224985,del_13,100
del_16,-1.6009692977134717,del_16,100
del_17,-14.23609483585872,del_17,100
del_18,11.881996572954728,del_18,100
del_20,-1.3628053493103485,del_20,100
