,coef,feature,n
ASXL1,-12.155566691630039,ASXL1,100
ASXL2,-2.1774683886195185,ASXL2,100
ASXL3,-34.059593200231205,ASXL3,100
ATRX,-20.022767710674636,ATRX,100
BAGE3,8.314412301893062,BAGE3,100
BCOR,-6.212380585065902,BCOR,100
BRAF,-28.25907188376394,BRAF,100
CBFB,-18.98007694433966,CBFB,100
CBL,-3.8866157424869043,CBL,100
CDKN2A,-21.07844603877249,CDKN2A,100
CEBPA_bi,7.094292108224072,CEBPA_bi,100
CEBPA_mono,0.5446970631981107,CEBPA_mono,100
CNTN5,-19.650625007547582,CNTN5,100
CREBBP,31.408477710324643,CREBBP,100
CSF1R,-36.43680777189099,CSF1R,100
CSF3R,-7.713432989762314,CSF3R,100
CTCF,-23.06018062130775,CTCF,100
CUL2,43.60230305241332,CUL2,100
CUX1,-15.086229037237906,CUX1,100
DNMT3A,-8.531763815417115,DNMT3A,100
EED,-32.23783734035307,EED,100
ETV6,-2.25741236213628,ETV6,100
EZH2,-14.422497887874128,EZH2,100
FBXW7,7.7024586387819785,FBXW7,100
FLT3_TKD,5.504729242852876,FLT3_TKD,100
FLT3_other,1.2408274258461598,FLT3_other,100
GATA1,35.73771640214501,GATA1,100
GATA2,8.196178393341466,GATA2,100
GNAS,27.668087398505225,GNAS,100
GNB1,15.090289333620452,GNB1,100
IDH1,-2.49967528181231,IDH1,100
IDH2_p.R140,-5.517593868449482,IDH2_p.R140,100
IDH2_p.R172,9.838627333295655,IDH2_p.R172,100
ITD,-9.682019872404467,ITD,100
JAK2,-0.47162776993450195,JAK2,100
JAK3,-3.673160018223571,JAK3,100
KANSL1,1.417957355583433,KANSL1,100
KDM6A,-9.340484216516767,KDM6A,100
KIT,6.805990759248615,KIT,100
KMT2C,8.314412301893062,KMT2C,100
KMT2D,-2.9015478354692608,KMT2D,100
KMT2E,12.119940051428864,KMT2E,100
KRAS,-4.696674143381952,KRAS,100
LUC7L2,-14.612609188357926,LUC7L2,100
MED12,0.9808623368490292,MED12,100
MLL,-9.364285730459844,MLL,100
MPL,-37.256689691549006,MPL,100
MYC,-2.1411515856466865,MYC,100
NF1,7.031428941204359,NF1,100
NFE2,55.32991778095858,NFE2,100
NOTCH1,13.318881411895665,NOTCH1,100
NPM1,4.729584572566546,NPM1,100
NRAS_other,-12.4537181230367,NRAS_other,100
NRAS_p.G12_13,0.14142771121640887,NRAS_p.G12_13,100
NRAS_p.Q61_62,-6.020197924722921,NRAS_p.Q61_62,100
PDS5B,49.62521142167604,PDS5B,100
PHF6,-3.7642612286608506,PHF6,100
PPFIA2,-6.540840937583244,PPFIA2,100
PRPF8,-23.345855843444113,PRPF8,100
PTEN,26.418554947026518,PTEN,100
PTPN11,9.970551317948104,PTPN11,100
PTPRF,-6.540840937583244,PTPRF,100
PTPRT,-51.81849920457922,PTPRT,100
RAD21,1.4836371700409168,RAD21,100
RIT1,11.528906550533092,RIT1,100
RUNX1,-6.9577075991220605,RUNX1,100
S100B,34.12291768934191,S100B,100
SETBP1,-8.970838545892892,SETBP1,100
SF1,-56.431439845810004,SF1,100
SF3B1,-21.22046015757004,SF3B1,100
SMC1A,-10.43709430921016,SMC1A,100
SMC3,-5.260657678935936,SMC3,100
SMG1,1.857354494545929,SMG1,100
SPP1,18.213722730009913,SPP1,100
SRSF2,-15.767551455629865,SRSF2,100
STAG2,-1.7005607733554786,STAG2,100
STAT5B,11.458604435224549,STAT5B,100
SUZ12,3.564317901147788,SUZ12,100
TET2,-12.708065459516508,TET2,100
TP53,-41.92600126480654,TP53,100
U2AF1_p.Q157,-31.148393069657097,U2AF1_p.Q157,100
U2AF1_p.S34,-16.445100794362197,U2AF1_p.S34,100
WT1,-16.532848436897858,WT1,100
ZRSR2,-11.926046245352817,ZRSR2,100
add_11,-16.822554135629808,add_11,100
add_13,-4.473110218643623,add_13,100
add_21,-4.273560065211327,add_21,100
add_22,21.49560397711446,add_22,100
add_8,-1.1955499000962708,add_8,100
ahd,21.783156735080066,ahd,100
bm_blasts,-0.09662468996434354,bm_blasts,100
complex,-11.149107894516368,complex,100
del_12,-7.4393213194554555,del_12,100
del_13,27.32444797995698,del_13,100
del_16,-1.7425692912347472,del_16,100
del_17,-14.887080682793815,del_17,100
