,coef,feature,n
ASXL1,-5.404541996825845,ASXL1,100
ASXL2,-1.587277494890949,ASXL2,100
ASXL3,-29.731356985596783,ASXL3,100
ATRX,-19.734178920462046,ATRX,100
BAGE3,13.647902882698006,BAGE3,100
BCOR,-4.6704749048077545,BCOR,100
BRAF,-21.889181482228704,BRAF,100
CBFB,-18.30666246661245,CBFB,100
CBL,-4.307869873858557,CBL,100
CDKN2A,-6.04610512344583,CDKN2A,100
CEBPA_bi,9.518656405282345,CEBPA_bi,100
CEBPA_mono,0.26187657376019247,CEBPA_mono,100
CNTN5,-12.76340734584756,CNTN5,100
CREBBP,32.4794550286203,CREBBP,100
CSF1R,-30.055870050849755,CSF1R,100
CSF3R,-3.910970976206657,CSF3R,100
CTCF,-23.898601906082927,CTCF,100
CUL2,32.41828132596228,CUL2,100
CUX1,-12.96459276956556,CUX1,100
DNMT3A,-7.655731659150581,DNMT3A,100
EED,-30.487916415031794,EED,100
ETV6,0.3443820651965788,ETV6,100
EZH2,-10.808384075917816,EZH2,100
FBXW7,3.7855130254655043,FBXW7,100
FLT3_TKD,3.1068707185386275,FLT3_TKD,100
FLT3_other,1.4687590584451713,FLT3_other,100
GATA1,32.754755269381725,GATA1,100
GATA2,10.108595332719489,GATA2,100
GNAS,25.338331538815943,GNAS,100
GNB1,12.723048005204307,GNB1,100
IDH1,-2.383318110776432,IDH1,100
IDH2_p.R140,-5.099872185529812,IDH2_p.R140,100
IDH2_p.R172,6.094346502055208,IDH2_p.R172,100
ITD,-9.209997318667874,ITD,100
JAK2,-1.5247979858217813,JAK2,100
JAK3,-1.737770096925945,JAK3,100
KANSL1,2.5367533314708424,KANSL1,100
KDM6A,-9.463340901805847,KDM6A,100
KIT,1.4061789115182386,KIT,100
KMT2C,13.647902882698006,KMT2C,100
KMT2D,-3.106160506838079,KMT2D,100
KMT2E,12.029396128228674,KMT2E,100
KRAS,-4.2175448428485085,KRAS,100
LUC7L2,-14.483079860450612,LUC7L2,100
MED12,2.1277788526545613,MED12,100
MLL,-4.746583920940119,MLL,100
MPL,-33.17775479895063,MPL,100
MYC,-1.6489906355745005,MYC,100
NF1,8.620469121649764,NF1,100
NFE2,46.49998649083108,NFE2,100
NOTCH1,7.8685078750600015,NOTCH1,100
NPM1,-2.5827892432882855,NPM1,100
NRAS_other,-8.272530147888077,NRAS_other,100
NRAS_p.G12_13,0.5744669129492261,NRAS_p.G12_13,100
NRAS_p.Q61_62,-9.757663012872321,NRAS_p.Q61_62,100
PDS5B,46.29557827874422,PDS5B,100
PHF6,-3.9949192476573043,PHF6,100
PPFIA2,-6.372247804439687,PPFIA2,100
PRPF8,-24.984788402698754,PRPF8,100
PTEN,21.474679908930856,PTEN,100
PTPN11,9.852118225505446,PTPN11,100
PTPRF,-6.372247804439687,PTPRF,100
PTPRT,-44.78006720864125,PTPRT,100
RAD21,1.5249804619221303,RAD21,100
RIT1,11.562990305556824,RIT1,100
RUNX1,0.1694035983587855,RUNX1,100
S100B,33.44685070837209,S100B,100
SETBP1,-4.171137663684704,SETBP1,100
SF1,-50.18231240624396,SF1,100
SF3B1,-20.92158909626476,SF3B1,100
SMC1A,-11.335995417304535,SMC1A,100
SMC3,-5.8940434703596285,SMC3,100
SMG1,2.2111023484400025,SMG1,100
SPP1,17.59503063267726,SPP1,100
SRSF2,-11.706328989930013,SRSF2,100
STAG2,2.0880522383704685,STAG2,100
STAT5B,10.783889821894524,STAT5B,100
SUZ12,3.823112320407292,SUZ12,100
TET2,-11.843088377352942,TET2,100
TP53,-27.98253703789804,TP53,100
U2AF1_p.Q157,-30.010278839511248,U2AF1_p.Q157,100
U2AF1_p.S34,-13.159254090397841,U2AF1_p.S34,100
WT1,-16.156356115183954,WT1,100
ZRSR2,-3.828457564125273,ZRSR2,100
add_11,-16.094504071558934,add_11,100
add_13,-5.802729224994324,add_13,100
add_21,-4.116855699740314,add_21,100
add_22,17.68124854530976,add_22,100
add_8,0.3517241016972823,add_8,100
ahd,21.781674082288905,ahd,100
bm_blasts,-0.1034891118541061,bm_blasts,100
complex,11.542559157726028,complex,100
del_12,-4.91447012320137,del_12,100
del_13,28.233404293562614,del_13,100
del_16,-0.5887863946740284,del_16,100
del_17,-15.221235852566808,del_17,100
del_18,10.666261696890965,del_18,100
del_20,0.1459330984711957,del_20,100
del_3,-2.4005809739414605,del_3,100
del_5,-11.950776868517563,del_5,100
del_7,-7.867859530491684,del_7,100
del_9,-12.568583935497765,del_9,100
eln_2017_ratio,12.718043579811777,eln_2017_ratio,100
final_component_NC1,-4.965238885273375,final_component_NC1,100
final_component_NC2,7.280943907377485,final_component_NC2,100
final_component_NC3,-1.7985626785466715,final_component_NC3,100
final_component_NC6,-8.303822022762562,final_component_NC6,100
final_component_NC7,-1.7012599054930098,final_component_NC7,100
final_component_c1_NPM1,-2.5827892432882855,final_component_c1_NPM1,100
final_component_c2_TP53_complex,-24.953550438765912,final_component_c2_TP53_complex,100
final_component_c3_rare_fusion,3.7729532779647332,final_component_c3_rare_fusion,100
final_component_c3_trans11,11.105276495525999,final_component_c3_trans11,100
final_component_c3_trans15_17,43.89915662838028,final_component_c3_trans15_17,100
final_component_c4_5_trans_8_21,-17.024931777897393,final_component_c4_5_trans_8_21,100
final_component_c6_biallelic_CEBPA,-16.688363381353636,final_component_c6_biallelic_CEBPA,100
final_component_c7_inversion_3,5.273224854833007,final_component_c7_inversion_3,100
final_component_c8_BAGE3_KMT2C,-19.781503918001622,final_component_c8_BAGE3_KMT2C,100
final_component_chr_splicing,11.222874936455948,final_component_chr_splicing,100
final_component_nc4_DNMT3A_IDH2,8.283936903387694,final_component_nc4_DNMT3A_IDH2,100
final_component_not_assigned,6.961655247451459,final_component_not_assigned,100
gender,0.7238075313500623,gender,100
hb,0.06919403639018502,hb,100
inv_3,-32.74516589089295,inv_3,100
minusy,-4.454416403310947,minusy,100
others_transloc,-8.067308896899242,others_transloc,100
perf_status,-12.934109341015592,perf_status,100
plt,0.019726552024676533,plt,100
secondary,-3.5621854625374585,secondary,100
t_10_21,16.722413104190213,t_10_21,100
t_12_13,39.39026575241712,t_12_13,100
t_12_17,14.545035897606622,t_12_17,100
t_12_22,18.477825161048454,t_12_22,100
t_13_19,34.42792860365033,t_13_19,100
t_15_16,9.226473051564263,t_15_16,100
t_15_17,9.070890831108187,t_15_17,100
t_16_17,-2.6562781265108524,t_16_17,100
t_16_21,-30.385095841960492,t_16_21,100
t_17_19,20.59899169480252,t_17_19,100
t_17_21,41.66282224081866,t_17_21,100
t_1_12,21.686782389998356,t_1_12,100
t_1_14,0.33660053002519763,t_1_14,100
t_1_16,0.19446779560460867,t_1_16,100
t_1_17,-38.24353422424357,t_1_17,100
t_1_19,15.853069440392076,t_1_19,100
t_1_3,-36.19730096205867,t_1_3,100
t_1_4,-4.585591077156532,t_1_4,100
t_1_5,-14.351869509713694,t_1_5,100
t_1_6,2.090637854039175,t_1_6,100
t_2_17,-11.93177793436002,t_2_17,100
t_2_3,-18.418407153233527,t_2_3,100
t_2_5,13.392167975555727,t_2_5,100
t_2_7,34.781352431498576,t_2_7,100
t_2_9,21.967915613928692,t_2_9,100
t_3_16,13.518128677267825,t_3_16,100
t_3_21,-45.470799213378626,t_3_21,100
t_3_5,1.1711778895471843,t_3_5,100
t_3_7,21.075109605680556,t_3_7,100
t_3_9,-2.936523762164462,t_3_9,100
t_4_12,30.121923330823968,t_4_12,100
t_4_21,41.170470116445145,t_4_21,100
t_4_9,-19.729588360792754,t_4_9,100
t_5_12,26.496377057316664,t_5_12,100
t_5_17,17.278944061581026,t_5_17,100
t_5_9,17.449117630966107,t_5_9,100
t_6_9,9.991695705340133,t_6_9,100
t_7_16,-31.02489061743422,t_7_16,100
t_7_17,24.28452285707241,t_7_17,100
t_7_8,34.999944646099124,t_7_8,100
t_8_10,16.722413104190213,t_8_10,100
t_8_13,-45.803148220436995,t_8_13,100
t_8_16,-43.18717673685998,t_8_16,100
t_8_17,-4.427244358839024,t_8_17,100
t_8_21,41.85234563643296,t_8_21,100
t_9_11,-18.868821477416823,t_9_11,100
t_9_13,2.9175000474343467,t_9_13,100
t_9_17,47.72302813706209,t_9_17,100
t_9_22,55.01895432816111,t_9_22,100
t_v_11,-7.131953583670946,t_v_11,100
wbc,-0.09171623654753538,wbc,100
