,coef,feature,n
ahd,23.267159007420705,ahd,100
bm_blasts,-0.1003133940876197,bm_blasts,100
eln_2017_ratio,17.27977006737262,eln_2017_ratio,100
final_component_NC1,-12.931128148815839,final_component_NC1,100
final_component_NC2,-2.4931079524176636,final_component_NC2,100
final_component_NC3,-9.003616292606498,final_component_NC3,100
final_component_NC6,-14.259188873998495,final_component_NC6,100
final_component_NC7,3.5893863374677966,final_component_NC7,100
final_component_c1_NPM1,-11.415796044843242,final_component_c1_NPM1,100
final_component_c2_TP53_complex,-37.07877375394334,final_component_c2_TP53_complex,100
final_component_c3_rare_fusion,9.717022891624808,final_component_c3_rare_fusion,100
final_component_c3_trans11,8.553773367890951,final_component_c3_trans11,100
final_component_c3_trans15_17,52.761215652041834,final_component_c3_trans15_17,100
final_component_c4_5_trans_8_21,18.89681577320613,final_component_c4_5_trans_8_21,100
final_component_c6_biallelic_CEBPA,-5.122466519694889,final_component_c6_biallelic_CEBPA,100
final_component_c7_inversion_3,-19.867318763260748,final_component_c7_inversion_3,100
final_component_c8_BAGE3_KMT2C,-3.349408802939697,final_component_c8_BAGE3_KMT2C,100
final_component_chr_splicing,7.055985539346776,final_component_chr_splicing,100
final_component_nc4_DNMT3A_IDH2,6.071761990661248,final_component_nc4_DNMT3A_IDH2,100
final_component_not_assigned,8.87484360028302,final_component_not_assigned,100
hb,0.05752602865823841,hb,100
perf_status,-13.11288502770217,perf_status,100
plt,0.012602167202348942,plt,100
secondary,-5.720988516037397,secondary,100
wbc,-0.10222917512751054,wbc,100
