,coef,feature,n
ASXL1,-14.69832393660392,ASXL1,100
ASXL2,6.440782408350409,ASXL2,100
ASXL3,-13.503761801172473,ASXL3,100
ATRX,-25.248647567100214,ATRX,100
BAGE3,3.6179243996765287,BAGE3,100
BCOR,0.2467049825252568,BCOR,100
BRAF,-38.0650414848128,BRAF,100
CBFB,-1.823950836885095,CBFB,100
CBL,-0.7107969335785003,CBL,100
CDKN2A,-26.141000992932284,CDKN2A,100
CEBPA_bi,4.0979743824747015,CEBPA_bi,100
CEBPA_mono,2.529248226575494,CEBPA_mono,100
CNTN5,-30.478550044332565,CNTN5,100
CREBBP,43.10159140784784,CREBBP,100
CSF1R,-31.135817086628602,CSF1R,100
CSF3R,-10.28715195204854,CSF3R,100
CTCF,-14.247185299983919,CTCF,100
CUL2,90.18020432017046,CUL2,100
CUX1,-15.993816126334908,CUX1,100
DNMT3A,-5.107454251462944,DNMT3A,100
EED,-46.61795488461633,EED,100
ETV6,5.84041986297497,ETV6,100
EZH2,-8.44543248090126,EZH2,100
FBXW7,4.239500241381037,FBXW7,100
FLT3_TKD,2.919110304486782,FLT3_TKD,100
FLT3_other,0.008010056681329605,FLT3_other,100
GATA1,31.71619072263526,GATA1,100
GATA2,8.8680161335736,GATA2,100
GNAS,36.539740577880664,GNAS,100
GNB1,24.934117592152433,GNB1,100
IDH1,-0.784283960722666,IDH1,100
IDH2_p.R140,1.6719357282168132,IDH2_p.R140,100
IDH2_p.R172,21.4038601762908,IDH2_p.R172,100
ITD,-19.627172283294716,ITD,100
JAK2,-4.711383044595267,JAK2,100
JAK3,13.154399437383445,JAK3,100
KANSL1,15.406445302526908,KANSL1,100
KDM6A,-8.79298612958692,KDM6A,100
KIT,4.603480447996087,KIT,100
KMT2C,3.6179243996765287,KMT2C,100
KMT2D,-7.663985953723873,KMT2D,100
KMT2E,15.60629892315271,KMT2E,100
KRAS,-14.394808400370593,KRAS,100
LUC7L2,-6.091619457761954,LUC7L2,100
MED12,-3.0694012403461626,MED12,100
MLL,-6.237579145005347,MLL,100
MPL,-28.738032837712492,MPL,100
MYC,-1.4416646517183525,MYC,100
NF1,-4.7189917115882425,NF1,100
NFE2,59.88048727008473,NFE2,100
NOTCH1,-0.7847117003753267,NOTCH1,100
NPM1,10.887635506780141,NPM1,100
NRAS_other,6.217510864170306,NRAS_other,100
NRAS_p.G12_13,-4.270545983023072,NRAS_p.G12_13,100
NRAS_p.Q61_62,-12.871582685883292,NRAS_p.Q61_62,100
PDS5B,86.15102944382367,PDS5B,100
PHF6,-2.2827320599245398,PHF6,100
PPFIA2,9.495478119989102,PPFIA2,100
PRPF8,-8.760422131598684,PRPF8,100
PTEN,47.3079800417833,PTEN,100
PTPN11,6.201400806603255,PTPN11,100
PTPRF,9.495478119989102,PTPRF,100
PTPRT,-23.217270162553767,PTPRT,100
RAD21,3.640937072964341,RAD21,100
RIT1,8.482466669570082,RIT1,100
RUNX1,-0.9748543520030666,RUNX1,100
S100B,40.30863907422122,S100B,100
SETBP1,-7.7658046264340115,SETBP1,100
SF1,-30.18588235758331,SF1,100
SF3B1,-16.63771087131464,SF3B1,100
SMC1A,-0.07663918988650649,SMC1A,100
SMC3,3.4675697964446712,SMC3,100
SMG1,30.14155261988084,SMG1,100
SPP1,20.70655739507994,SPP1,100
SRSF2,-7.927645574849639,SRSF2,100
STAG2,6.463309801543796,STAG2,100
STAT5B,7.655414969128118,STAT5B,100
SUZ12,-7.180038806046226,SUZ12,100
TET2,-2.060751706667972,TET2,100
TP53,-52.25925136693368,TP53,100
U2AF1_p.Q157,-15.304840889416015,U2AF1_p.Q157,100
U2AF1_p.S34,-6.606219038339014,U2AF1_p.S34,100
WT1,-18.42555442305193,WT1,100
ZRSR2,11.739833853975849,ZRSR2,100
age,-1.59987018550881,age,100
