,coef,feature,n
ASXL1,-17.058716079051578,ASXL1,100
ASXL2,2.2215781551928786,ASXL2,100
ASXL3,-26.979663399258538,ASXL3,100
ATRX,-26.291626049656916,ATRX,100
BAGE3,10.581795544874641,BAGE3,100
BCOR,-3.5436268655586947,BCOR,100
BRAF,-25.070578559528727,BRAF,100
CBFB,-6.232123459046684,CBFB,100
CBL,-2.9453108551111233,CBL,100
CDKN2A,-38.205896344515004,CDKN2A,100
CEBPA_bi,6.854768122842744,CEBPA_bi,100
CEBPA_mono,-0.3471904597509297,CEBPA_mono,100
CNTN5,-35.0710623993403,CNTN5,100
CREBBP,33.35667276510597,CREBBP,100
CSF1R,-46.785683025933,CSF1R,100
CSF3R,-7.756635707624501,CSF3R,100
CTCF,-17.06116903813852,CTCF,100
CUL2,76.82113289810111,CUL2,100
CUX1,-19.975192676028602,CUX1,100
DNMT3A,-9.16318878319195,DNMT3A,100
EED,-40.2718914254379,EED,100
ETV6,3.1350666665128943,ETV6,100
EZH2,-17.20141057869313,EZH2,100
FBXW7,8.78108378284243,FBXW7,100
FLT3_TKD,3.7349392589530437,FLT3_TKD,100
FLT3_other,-1.1272193111891968,FLT3_other,100
GATA1,31.057625020963464,GATA1,100
GATA2,4.647691168611794,GATA2,100
GNAS,25.7156906619271,GNAS,100
GNB1,21.523235181352977,GNB1,100
IDH1,-1.7373515963752761,IDH1,100
IDH2_p.R140,-2.88377927190057,IDH2_p.R140,100
IDH2_p.R172,11.922022323480851,IDH2_p.R172,100
ITD,-15.540684066388035,ITD,100
JAK2,-12.297520839198876,JAK2,100
JAK3,7.272603396568421,JAK3,100
KANSL1,0.9748820664116269,KANSL1,100
KDM6A,-6.821572493464486,KDM6A,100
KIT,14.344669472648427,KIT,100
KMT2C,10.581795544874641,KMT2C,100
KMT2D,-7.271112054095894,KMT2D,100
KMT2E,10.344955172884724,KMT2E,100
KRAS,-10.93298791578707,KRAS,100
LUC7L2,-5.177741616767726,LUC7L2,100
MED12,-6.375738946900384,MED12,100
MLL,-11.402481794103029,MLL,100
MPL,-34.40218238560276,MPL,100
MYC,1.3140373432687456,MYC,100
NF1,1.0114493421858168,NF1,100
NFE2,68.9544361495928,NFE2,100
NOTCH1,16.011528777067372,NOTCH1,100
NPM1,3.028190035299423,NPM1,100
NRAS_other,-12.002779244814944,NRAS_other,100
NRAS_p.G12_13,-1.1314751257968865,NRAS_p.G12_13,100
NRAS_p.Q61_62,-11.190263223791797,NRAS_p.Q61_62,100
PDS5B,71.50336713286919,PDS5B,100
PHF6,-2.9497034174442898,PHF6,100
PPFIA2,-3.6202613370285586,PPFIA2,100
PRPF8,-20.86165564291734,PRPF8,100
PTEN,58.752945031337504,PTEN,100
PTPN11,7.321194128949725,PTPN11,100
PTPRF,-3.6202613370285586,PTPRF,100
PTPRT,-30.680781294036425,PTPRT,100
RAD21,5.630080293426604,RAD21,100
RIT1,12.225006012054239,RIT1,100
RUNX1,-6.792231832492922,RUNX1,100
S100B,32.58996566899754,S100B,100
SETBP1,-14.518469014746985,SETBP1,100
SF1,-52.28412947378548,SF1,100
SF3B1,-34.760078416575176,SF3B1,100
SMC1A,-4.0685762383762345,SMC1A,100
SMC3,-1.1930193322004004,SMC3,100
SMG1,17.08586532419794,SMG1,100
SPP1,19.200585922755778,SPP1,100
SRSF2,-20.83221969103967,SRSF2,100
STAG2,0.1245254254860322,STAG2,100
STAT5B,2.1973756342899624,STAT5B,100
SUZ12,7.334230984533931,SUZ12,100
TET2,-15.632856687162981,TET2,100
TP53,-70.1337929094717,TP53,100
U2AF1_p.Q157,-31.030222009082113,U2AF1_p.Q157,100
U2AF1_p.S34,-17.8172604539131,U2AF1_p.S34,100
WT1,-12.906916215875771,WT1,100
ZRSR2,-9.388609120382858,ZRSR2,100
gender,-0.6906677680333521,gender,100
