component_0	component_1	component_2	component_3	component_4	component_5	component_6	predicted_component	max_proba
1	0.224	0.775714285714286	0	0	0	0.000285714285714286	0	1	0.775714285714286
2	0.0151428571428571	0.210857142857143	0.103142857142857	0.000285714285714286	0.670285714285714	0.000285714285714286	0	4	0.670285714285714
3	0.145047619047619	0.328380952380952	0.40647619047619	0.00285714285714286	0.111428571428571	0.00457142857142857	0.00123809523809524	2	0.40647619047619
4	0.195619047619048	0.770666666666667	0.0295238095238095	0.0019047619047619	0.0019047619047619	0.000380952380952381	0	1	0.770666666666667
5	0.00904761904761905	0.543142857142857	0.413714285714286	0.0318095238095238	0.000476190476190476	0.00161904761904762	0.00019047619047619	1	0.543142857142857
6	0.00285714285714286	0.00314285714285714	0	0.992857142857143	0	0	0.00114285714285714	3	0.992857142857143
7	0.033	0.955428571428571	0.00585714285714286	0	0.00542857142857143	0.000142857142857143	0.000142857142857143	1	0.955428571428571
8	0.268952380952381	0.604	0.0933333333333333	0.00819047619047619	0.00971428571428571	0.0104761904761905	0.00533333333333333	1	0.604
9	0.0231428571428571	0.975428571428571	0.000285714285714286	0.000285714285714286	0	0.000857142857142857	0	1	0.975428571428571
10	0.0102857142857143	0.263047619047619	0.0255238095238095	0.696952380952381	0.000761904761904762	0.00285714285714286	0.000571428571428571	3	0.696952380952381
11	0.0305714285714286	0.943285714285714	0.0172857142857143	0.00128571428571429	0.00728571428571429	0.000285714285714286	0	1	0.943285714285714
12	0.167904761904762	0.824	0.00771428571428571	9.52380952380952e-05	9.52380952380952e-05	9.52380952380952e-05	9.52380952380952e-05	1	0.824
13	0.08	0.508	0.403714285714286	0.00019047619047619	0.00771428571428571	0.000380952380952381	0	1	0.508
14	0.0112380952380952	0.267809523809524	0.712	0.000571428571428571	0.00771428571428571	0.000666666666666667	0	2	0.712
15	0.0333333333333333	0.931428571428571	0.0321904761904762	0.00285714285714286	0.00019047619047619	0	0	1	0.931428571428571
16	0.135857142857143	0.846142857142857	0.00885714285714286	0	0.00914285714285714	0	0	1	0.846142857142857
17	0.227542857142857	0.767885714285714	0.00377142857142857	0.000114285714285714	0.000342857142857143	0.000228571428571429	0.000114285714285714	1	0.767885714285714
18	0.0341428571428571	0.918857142857143	0.0365714285714286	0.000571428571428571	0.00942857142857143	0.000428571428571429	0	1	0.918857142857143
19	0.0114285714285714	0.294	0.678714285714286	0.00257142857142857	0.0127142857142857	0.000428571428571429	0.000142857142857143	2	0.678714285714286
20	0.0905714285714286	0.901142857142857	0.00671428571428571	0.00114285714285714	0	0.000428571428571429	0	1	0.901142857142857
21	0.0321428571428571	0.924	0.0354285714285714	0.00114285714285714	0.007	0.000285714285714286	0	1	0.924
22	0.0174285714285714	0.958714285714286	0.0181428571428571	0.00442857142857143	0	0.001	0.000285714285714286	1	0.958714285714286
23	0.0885714285714286	0.334	0.563857142857143	0.000142857142857143	0.013	0.000428571428571429	0	2	0.563857142857143
24	0.0971428571428571	0.894428571428571	0.007	0.000142857142857143	0.000285714285714286	0.001	0	1	0.894428571428571
25	0.0497142857142857	0.851714285714286	0.074	0.000285714285714286	0.0234285714285714	0.000857142857142857	0	1	0.851714285714286
26	0.0368571428571429	0.921857142857143	0.0322857142857143	0.00114285714285714	0.00742857142857143	0.000285714285714286	0.000142857142857143	1	0.921857142857143
27	0.0251428571428571	0.973428571428571	0	0.000571428571428571	0.000571428571428571	0	0.000285714285714286	1	0.973428571428571
28	0.0516190476190476	0.900190476190476	0.0371428571428571	0	0.011047619047619	0	0	1	0.900190476190476
29	0.00533333333333333	0.0931428571428571	0.0163809523809524	0.00019047619047619	0.884952380952381	0	0	4	0.884952380952381
30	0.0247142857142857	0.643142857142857	0.289428571428571	0.0332857142857143	0.00914285714285714	0	0.000285714285714286	1	0.643142857142857
31	0.0439047619047619	0.866761904761905	0.084	0.00104761904761905	0.00285714285714286	0.00114285714285714	0.000285714285714286	1	0.866761904761905
32	0.0205714285714286	0.773428571428571	0.00838095238095238	0.00133333333333333	0.195047619047619	0.000571428571428571	0.000666666666666667	1	0.773428571428571
33	0.0500952380952381	0.904952380952381	0.0339047619047619	0	0.0108571428571429	0.00019047619047619	0	1	0.904952380952381
34	0.0565714285714286	0.893142857142857	0.0365714285714286	0.00019047619047619	0.0133333333333333	0.00019047619047619	0	1	0.893142857142857
35	0.056	0.754285714285714	0.0406666666666667	0.14152380952381	0.0040952380952381	0.000761904761904762	0.00266666666666667	1	0.754285714285714
36	0.0312857142857143	0.952714285714286	0.00814285714285714	0.000428571428571429	0.00685714285714286	0.000142857142857143	0.000428571428571429	1	0.952714285714286
37	0.136285714285714	0.838428571428571	0.0188571428571429	0.000142857142857143	0.00614285714285714	0.000142857142857143	0	1	0.838428571428571
38	0.0177142857142857	0.936	0.000952380952380952	0.044952380952381	0	0.000380952380952381	0	1	0.936
39	0.0165714285714286	0.960380952380952	0.0158095238095238	0.00533333333333333	0.000380952380952381	0.00019047619047619	0.00133333333333333	1	0.960380952380952
40	0.0317142857142857	0.939285714285714	0.0214285714285714	0.000142857142857143	0.00728571428571429	0.000142857142857143	0	1	0.939285714285714
