component_0	component_1	component_2	component_3	component_4	component_5	predicted_component	max_proba
1	0.00238095238095238	0.979047619047619	0.0142857142857143	0.00142857142857143	0.0019047619047619	0.000952380952380952	1	0.979047619047619
2	0.00380952380952381	0.104285714285714	0.174285714285714	0.000952380952380952	0.713809523809524	0.00285714285714286	4	0.713809523809524
3	0.111587301587302	0.408253968253968	0.42031746031746	0.00698412698412698	0.0455555555555556	0.0073015873015873	2	0.42031746031746
4	0.00571428571428571	0.946666666666667	0.0368253968253968	0.00634920634920635	0.00317460317460317	0.00126984126984127	1	0.946666666666667
5	0.0271428571428571	0.369047619047619	0.55015873015873	0.0480952380952381	0.00222222222222222	0.00333333333333333	2	0.55015873015873
6	0.000952380952380952	0.0119047619047619	0	0.971904761904762	0	0.0152380952380952	3	0.971904761904762
7	0.00428571428571429	0.982142857142857	0.00738095238095238	0.000476190476190476	0.00523809523809524	0.000476190476190476	1	0.982142857142857
8	0.0355555555555556	0.684761904761905	0.234285714285714	0.0174603174603175	0.0184126984126984	0.00952380952380952	1	0.684761904761905
9	0.00380952380952381	0.985714285714286	0.0019047619047619	0.00285714285714286	0.00142857142857143	0.00428571428571429	1	0.985714285714286
10	0.00761904761904762	0.0571428571428571	0.00825396825396825	0.905396825396825	0.00126984126984127	0.0203174603174603	3	0.905396825396825
11	0.00357142857142857	0.966190476190476	0.0228571428571429	0.00380952380952381	0.00357142857142857	0	1	0.966190476190476
12	0.00492063492063492	0.984285714285714	0.00825396825396825	0.000317460317460317	0.000793650793650794	0.00142857142857143	1	0.984285714285714
13	0.0119047619047619	0.210793650793651	0.756349206349206	0.000634920634920635	0.0195238095238095	0.000793650793650794	2	0.756349206349206
14	0.00206349206349206	0.0752380952380952	0.914761904761905	0.00253968253968254	0.0046031746031746	0.000793650793650794	2	0.914761904761905
15	0.00571428571428571	0.96	0.026031746031746	0.00761904761904762	0.000317460317460317	0.000317460317460317	1	0.96
16	0.00119047619047619	0.978809523809524	0.0161904761904762	0.000238095238095238	0.00333333333333333	0.000238095238095238	1	0.978809523809524
17	0.00571428571428571	0.983047619047619	0.00876190476190476	0.00019047619047619	0.00152380952380952	0.000761904761904762	1	0.983047619047619
18	0.00642857142857143	0.967142857142857	0.0211904761904762	0.00238095238095238	0.00261904761904762	0.000238095238095238	1	0.967142857142857
19	0.00619047619047619	0.101904761904762	0.873095238095238	0.00404761904761905	0.0147619047619048	0	2	0.873095238095238
20	0.00619047619047619	0.977857142857143	0.00833333333333333	0.00571428571428571	0.000476190476190476	0.00142857142857143	1	0.977857142857143
21	0.00261904761904762	0.965714285714286	0.0266666666666667	0.0019047619047619	0.00214285714285714	0.000952380952380952	1	0.965714285714286
22	0.01	0.963095238095238	0.0130952380952381	0.0119047619047619	0.000714285714285714	0.00119047619047619	1	0.963095238095238
23	0.00357142857142857	0.213095238095238	0.773333333333333	0.00166666666666667	0.00785714285714286	0.000476190476190476	2	0.773333333333333
24	0.00642857142857143	0.97047619047619	0.0202380952380952	0.00238095238095238	0.000238095238095238	0.000238095238095238	1	0.97047619047619
25	0.00761904761904762	0.828095238095238	0.138095238095238	0.00571428571428571	0.0176190476190476	0.00285714285714286	1	0.828095238095238
26	0.00238095238095238	0.966666666666667	0.0235714285714286	0.00452380952380952	0.00238095238095238	0.000476190476190476	1	0.966666666666667
27	0.00571428571428571	0.983809523809524	0.00333333333333333	0.0019047619047619	0.000476190476190476	0.00476190476190476	1	0.983809523809524
