chains	inicc	n	burnin	space	base_dist	alphaa	alphab	n_components	component_0	assignment	Davies_Bouldin	Silhouette
1	3	13	350	7000	20	gaussian	1	0.5	5	748	1933	2.81581493754502	0.109394125636634
2	3	13	350	7000	20	gaussian	1	1	7	5	1894	2.83665052402728	0.0842047350299731
3	3	13	350	7000	20	gaussian	2	0.5	10	48	1806	3.08680392924717	0.084883291480619
4	3	13	350	7000	20	gaussian	2	1	7	68	1812	3.32845550750996	0.0745127325418023
5	3	13	350	7000	20	uniform	1	0.5	8	5	1828	2.73504477149684	NaN
6	3	13	350	7000	20	uniform	1	1	9	3	1844	2.54397321340756	NaN
7	3	13	350	7000	20	uniform	2	0.5	8	2	1831	2.77430343809017	0.0703888413313802
8	3	13	350	7000	20	uniform	2	1	7	64	1834	2.74748180503752	NaN
9	3	13	400	7000	20	gaussian	1	0.5	5	746	1931	2.8173958562477	0.109745036057182
10	3	13	400	7000	20	gaussian	1	1	7	5	1896	2.83486605782936	0.0835161625877024
11	3	13	400	7000	20	gaussian	2	0.5	10	3	1851	2.83389063762626	0.0827963708347954
12	3	13	400	7000	20	gaussian	2	1	7	63	1809	3.26328723610936	0.0764787679586222
13	3	13	400	7000	20	uniform	1	0.5	8	5	1833	2.73562294153064	NaN
14	3	13	400	7000	20	uniform	1	1	8	89	1844	2.63990325690443	NaN
15	3	13	400	7000	20	uniform	2	0.5	8	2	1829	2.7652640002108	0.0703461848478561
16	3	13	400	7000	20	uniform	2	1	7	65	1833	2.7811630748504	NaN
17	3	15	350	7000	20	gaussian	1	0.5	9	24	1834	3.14863823487268	0.0897551100354421
18	3	15	350	7000	20	gaussian	1	1	9	39	1810	2.79078625986322	NaN
19	3	15	350	7000	20	gaussian	2	0.5	8	80	1834	3.02909719700607	0.0784430779339906
20	3	15	350	7000	20	gaussian	2	1	8	86	1805	3.43887300650138	0.0761129630656266
21	3	15	350	7000	20	uniform	1	0.5	9	1	1777	2.37437398241256	NaN
22	3	15	350	7000	20	uniform	1	1	8	93	1832	2.65998189822564	NaN
23	3	15	350	7000	20	uniform	2	0.5	7	55	1831	3.03100631517387	NaN
24	3	15	350	7000	20	uniform	2	1	9	1	1572	2.5069394874609	NaN
25	3	15	400	7000	20	gaussian	1	0.5	9	24	1837	3.13618031898151	0.0897101535102089
26	3	15	400	7000	20	gaussian	1	1	9	37	1812	2.78482665182009	NaN
27	3	15	400	7000	20	gaussian	2	0.5	8	82	1837	3.01288526833024	0.0789241233426644
28	3	15	400	7000	20	gaussian	2	1	8	35	1818	2.95423437859459	0.0975799932190273
29	3	15	400	7000	20	uniform	1	0.5	8	2	1832	2.67663911050235	0.0712642453733237
30	3	15	400	7000	20	uniform	1	1	8	91	1835	2.65497331669223	NaN
31	3	15	400	7000	20	uniform	2	0.5	7	46	1829	2.86708590233816	NaN
32	3	15	400	7000	20	uniform	2	1	8	105	1795	2.68052265310185	NaN
