chains	inicc	n	burnin	space	base_dist	alphaa	alphab	n_components	component_0	assignment	Davies_Bouldin	Silhouette
1	3	11	200	5000	20	gaussian	1	1	4	10	1105	2.88709764657696	0.0913995804817747
2	3	11	200	5000	20	uniform	1	1	5	3	1063	2.41963325389014	0.0992760635819624
3	3	11	300	5000	20	gaussian	1	1	4	10	1107	2.88694925531029	0.0912562600071989
4	3	11	300	5000	20	uniform	1	1	5	3	1063	2.41963325389014	0.0992760635819624
5	3	11	350	5000	20	gaussian	1	1	4	9	1107	2.84070206408541	0.0918684118910082
6	3	11	350	5000	20	uniform	1	1	5	3	1064	2.41963325389014	0.0992760635819624
7	3	13	200	5000	20	gaussian	1	1	5	12	1102	2.62348422094983	0.104994972597316
8	3	13	200	5000	20	uniform	1	1	5	6	1058	2.56335400496875	0.104580148716179
9	3	13	300	5000	20	gaussian	1	1	5	11	1103	2.65280860547331	0.100575188710191
10	3	13	300	5000	20	uniform	1	1	6	3	1063	2.41865149128153	0.0993812704639271
11	3	13	350	5000	20	gaussian	1	1	5	13	1103	2.6136483846243	0.105260301872394
12	3	13	350	5000	20	uniform	1	1	6	3	1062	2.41865149128153	0.0993812704639271
13	3	15	200	5000	20	gaussian	1	1	4	21	1091	2.82409120468881	0.104309324170834
14	3	15	200	5000	20	uniform	1	1	6	14	1016	2.34567514956467	0.173238088053984
15	3	15	300	5000	20	gaussian	1	1	4	24	1096	3.03545131760275	0.10031346196077
16	3	15	300	5000	20	uniform	1	1	6	14	1018	2.34150603420323	0.174918417828875
17	3	15	350	5000	20	gaussian	1	1	4	24	1100	3.03545131760275	0.10031346196077
18	3	15	350	5000	20	uniform	1	1	6	13	1026	2.33559386613016	0.179503516968893
19	3	17	200	5000	20	gaussian	1	1	5	3	1106	2.39154196191384	0.105135516848262
20	3	17	200	5000	20	uniform	1	1	6	4	1056	2.47171886011902	0.104355708626833
21	3	17	300	5000	20	gaussian	1	1	5	3	1107	2.38935225201618	0.106107291562763
22	3	17	300	5000	20	uniform	1	1	5	5	1056	2.59565195294193	0.0985532562469206
23	3	17	350	5000	20	gaussian	1	1	5	3	1108	2.39117797312574	0.105420955020594
24	3	17	350	5000	20	uniform	1	1	5	4	1054	2.51943702909375	0.0956585481001406
25	5	11	200	5000	20	gaussian	1	1	4	10	1103	2.92073242261375	0.0906658624318597
26	5	11	200	5000	20	uniform	1	1	5	6	1038	2.58009523608801	0.10428088629937
27	5	11	300	5000	20	gaussian	1	1	4	11	1103	2.94066050932446	0.0906528446055081
28	5	11	300	5000	20	uniform	1	1	5	6	1038	2.57947696662566	0.104288959821665
29	5	11	350	5000	20	gaussian	1	1	4	9	1102	2.83873284679981	0.0919386854370681
30	5	11	350	5000	20	uniform	1	1	5	7	1038	2.69201553158549	0.10218641635419
31	5	13	200	5000	20	gaussian	1	1	4	22	1101	2.95325821500328	0.100282673082433
32	5	13	200	5000	20	uniform	1	1	6	3	1060	2.41865149128153	0.0993812704639271
33	5	13	300	5000	20	gaussian	1	1	4	22	1102	2.95123487728944	0.100495908331922
34	5	13	300	5000	20	uniform	1	1	6	3	1063	2.42523487450485	0.0974198657577784
35	5	13	350	5000	20	gaussian	1	1	4	22	1102	2.95123487728944	0.100495908331922
36	5	13	350	5000	20	uniform	1	1	6	3	1063	2.41838959978634	0.0994638889662169
37	5	15	200	5000	20	gaussian	1	1	4	17	1102	2.73553833235151	0.104042099150956
38	5	15	200	5000	20	uniform	1	1	5	4	1055	2.47488740622718	0.103818764711024
39	5	15	300	5000	20	gaussian	1	1	4	15	1102	2.70324519053593	0.102607782297263
40	5	15	300	5000	20	uniform	1	1	5	5	1056	2.58833845806458	0.100670210929235
41	5	15	350	5000	20	gaussian	1	1	4	15	1103	2.70598154484724	0.102002486954641
42	5	15	350	5000	20	uniform	1	1	6	2	1054	2.31951659003596	0.101772761466585
43	5	17	200	5000	20	gaussian	1	1	5	3	1105	2.36872473686123	0.110973278596201
44	5	17	200	5000	20	uniform	1	1	6	5	1056	2.51770862788833	0.104115900214066
45	5	17	300	5000	20	gaussian	1	1	5	3	1105	2.37311918460165	0.109698600330753
46	5	17	300	5000	20	uniform	1	1	5	6	1055	2.6146986978408	0.100802510919151
47	5	17	350	5000	20	gaussian	1	1	5	3	1106	2.37311918460165	0.109698600330753
48	5	17	350	5000	20	uniform	1	1	6	3	1057	2.4206098905206	0.098706271698016
