chains	inicc	n	burnin	space	base_dist	alphaa	alphab	n_components	component_0	assignment	Davies_Bouldin	Silhouette
1	3	5	350	5000	20	gaussian	1	1	6	165	1285	3.66206097363366	0.0704322283030165
2	3	5	350	5000	20	uniform	1	1	7	31	1295	2.65376630020767	NaN
3	3	5	450	5000	20	gaussian	1	1	5	259	1304	3.79063063909546	0.0570205553568805
4	3	5	450	5000	20	uniform	1	1	7	33	1300	2.66516328984569	NaN
5	3	10	350	5000	20	gaussian	1	1	6	104	1331	3.42025724100306	0.0695740267298911
6	3	10	350	5000	20	uniform	1	1	6	81	1282	3.06015759227522	NaN
7	3	10	450	5000	20	gaussian	1	1	6	99	1329	3.42312904174603	0.0696206416643082
8	3	10	450	5000	20	uniform	1	1	6	75	1274	3.05730351392897	NaN
9	3	15	350	5000	20	gaussian	1	1	6	386	1311	3.5358154510307	0.0602394803498989
10	3	15	350	5000	20	uniform	1	1	5	54	1262	3.6443686092522	0.0610539146950008
11	3	15	450	5000	20	gaussian	1	1	6	379	1313	3.53960630927626	0.0600644579105439
12	3	15	450	5000	20	uniform	1	1	6	69	1261	3.00757501552389	NaN
