chains	inicc	n	burnin	space	n_components	component_0	assignment	Davies_Bouldin	Silhouette
3	15	300	5000	20	7	205	1753	3.42024499864765	NA
3	15	300	5000	20	3	159	1877	3.94184607205406	0.0368311283600726
3	15	300	7000	20	8	48	1722	3.2899327887889	NA
3	15	300	7000	20	8	124	1789	3.26987330432602	NA
3	15	300	7000	20	7	22	1815	2.63460753280555	NA
3	15	300	7000	20	3	159	1870	3.93682125021434	0.0398020531079578
3	15	350	5000	20	8	37	1744	3.21908780290199	NA
3	15	350	5000	20	6	136	1786	3.94480246948244	0.0203575919285079
3	15	350	5000	20	6	34	1799	2.8795389780166	NA
3	15	350	5000	20	3	152	1869	3.93624345836637	0.0381320001710762
3	15	350	7000	20	8	49	1719	3.28439204058053	NA
3	15	350	7000	20	8	121	1789	3.264808564797	NA
3	15	350	7000	20	7	181	1765	3.34394980385093	NA
3	15	350	7000	20	3	157	1872	3.92841265266198	0.040146433454395
3	15	400	5000	20	8	41	1731	3.24474791929984	NA
3	15	400	5000	20	6	138	1783	3.93361497189547	0.0209554332621799
3	15	400	5000	20	6	195	1764	3.66128027528114	NA
3	15	400	5000	20	3	151	1863	3.92115015740078	0.0401222672931966
3	15	400	7000	20	8	52	1716	3.28528544026825	NA
3	15	400	7000	20	8	120	1788	3.26839232898893	NA
3	15	400	7000	20	7	180	1774	3.33874836133082	NA
3	15	400	7000	20	3	160	1863	3.92104186248336	0.0403097338371458
3	15	450	5000	20	8	43	1728	3.24777981855555	NA
3	15	450	5000	20	6	134	1779	3.94117826760804	0.0202036278435263
3	15	450	5000	20	6	196	1760	3.65088062935773	NA
3	15	450	5000	20	3	156	1862	3.91512788156278	0.0404534370792086
3	15	450	7000	20	8	48	1725	3.27899793926274	NA
3	15	450	7000	20	8	122	1794	3.25579983577493	NA
3	15	450	7000	20	7	178	1771	3.34251335041476	NA
3	15	450	7000	20	3	161	1875	3.9173677101632	0.0402975583847324
3	16	300	5000	20	10	4	1767	2.94551367605779	NA
3	16	300	5000	20	7	116	1763	3.55552500761974	NA
3	16	300	5000	20	8	72	1765	3.18745646337234	NA
3	16	300	5000	20	3	171	1869	3.88107386413823	0.0418171856116057
3	16	300	7000	20	10	4	1761	2.95495005834192	NA
3	16	300	7000	20	8	89	1780	3.31806290704277	NA
3	16	300	7000	20	8	72	1774	3.17119884605559	NA
3	16	300	7000	20	3	175	1880	3.88270641105477	0.0417331892157917
3	16	350	5000	20	10	4	1766	2.94723840195144	NA
3	16	350	5000	20	7	105	1762	3.53211315708188	NA
3	16	350	5000	20	8	72	1762	3.19039838725739	NA
3	16	350	5000	20	3	169	1870	3.87023109169733	0.0421800602903369
3	16	350	7000	20	10	4	1757	2.96488754612555	NA
3	16	350	7000	20	8	84	1781	3.30208053526445	NA
3	16	350	7000	20	8	69	1763	3.17653330095371	NA
3	16	350	7000	20	3	171	1872	3.88530713934981	0.0417793164397133
3	16	400	5000	20	9	5	1761	3.2324811337014	0.0496999667927453
3	16	400	5000	20	8	97	1769	3.32872602065739	NA
3	16	400	5000	20	8	71	1767	3.17739743831322	NA
3	16	400	5000	20	3	171	1867	3.88202961850865	0.0415542786982336
3	16	400	7000	20	9	49	1754	3.08232379779507	NA
3	16	400	7000	20	7	329	1846	3.34855114958872	NA
3	16	400	7000	20	8	71	1763	3.17820935142607	NA
3	16	400	7000	20	3	173	1873	3.87991981318301	0.0420582481238647
3	16	450	5000	20	9	5	1759	3.23388589031139	0.0499036509562949
3	16	450	5000	20	8	93	1771	3.33370372074706	NA
3	16	450	5000	20	8	71	1756	3.18554369054641	NA
3	16	450	5000	20	3	171	1867	3.88129760889041	0.041787516811228
3	16	450	7000	20	9	48	1752	3.08295659350133	NA
3	16	450	7000	20	7	326	1855	3.35597783369827	NA
3	16	450	7000	20	8	71	1766	3.18002280100759	NA
3	16	450	7000	20	3	173	1874	3.87823271618656	0.0421065632665204
3	17	300	5000	20	9	86	1722	3.37121400965112	0.0449578823892463
3	17	300	5000	20	6	413	1807	3.56694780620952	NA
3	17	300	5000	20	8	80	1715	3.30291923790537	NA
3	17	300	5000	20	3	156	1864	3.93906898762199	0.0377892075051335
3	17	300	7000	20	9	70	1723	3.35189259889983	0.0449519451951301
3	17	300	7000	20	5	340	1836	4.15980387857563	0.0186381121778715
3	17	300	7000	20	8	78	1730	3.29292018673177	NA
3	17	300	7000	20	3	160	1876	3.94336409228046	0.0365889410461065
3	17	350	5000	20	9	78	1727	3.37487661829628	0.0452241593108061
3	17	350	5000	20	6	397	1803	3.57519231487391	NA
3	17	350	5000	20	8	81	1718	3.30430223106227	NA
3	17	350	5000	20	3	156	1856	3.93636484017508	0.0375925520749336
3	17	350	7000	20	9	72	1731	3.34563998238563	0.0447205665396069
3	17	350	7000	20	5	335	1832	4.16214577966254	0.0191866885880888
3	17	350	7000	20	8	76	1731	3.31352513384843	NA
3	17	350	7000	20	3	160	1866	3.9285653712643	0.037249295577697
3	17	400	5000	20	9	79	1729	3.35835300517948	0.0446707069417656
