chains	inicc	n	burnin	space	base_dist	alphaa	alphab	n_components	component_0	assignment	Davies_Bouldin	Silhouette
1	3	12	50	1000	20	binomial	2	0.5	10	75	1760	3.1558542679489	NaN
2	3	12	50	1000	20	gaussian	2	0.5	9	131	1794	3.2599880745898	NaN
3	3	12	50	1000	20	uniform	2	0.5	8	117	1696	3.05322331624943	NaN
4	3	12	50	1000	20	repetition	2	0.5	4	68	1932	3.85955239177913	0.0101968565774576
5	3	12	50	5000	20	binomial	2	0.5	10	52	1812	3.00397456260464	NaN
6	3	12	50	5000	20	gaussian	2	0.5	10	127	1768	3.17024356425949	NaN
7	3	12	50	5000	20	uniform	2	0.5	8	11	1772	2.84731850036272	NaN
8	3	12	50	5000	20	repetition	2	0.5	4	30	1963	3.42772052698948	0.0212793786098135
9	3	12	100	1000	20	binomial	2	0.5	10	65	1776	3.11288857539072	NaN
10	3	12	100	1000	20	gaussian	2	0.5	9	148	1793	3.23418600163697	NaN
11	3	12	100	1000	20	uniform	2	0.5	7	122	1689	3.18843841724146	NaN
12	3	12	100	1000	20	repetition	2	0.5	4	39	1952	3.53087848139601	0.0140510081023829
13	3	12	100	5000	20	binomial	2	0.5	10	56	1802	3.00622292080606	NaN
14	3	12	100	5000	20	gaussian	2	0.5	10	55	1823	2.99123948524044	NaN
15	3	12	100	5000	20	uniform	2	0.5	8	9	1770	2.82761891120898	NaN
16	3	12	100	5000	20	repetition	2	0.5	4	33	1971	3.45959992851651	0.0190523362926958
17	3	12	350	1000	20	binomial	2	0.5	10	61	1787	3.04633486997096	NaN
18	3	12	350	1000	20	gaussian	2	0.5	9	420	1846	3.00639935336266	NaN
19	3	12	350	1000	20	uniform	2	0.5	7	20	1757	3.37677912305394	0.0604995355168946
20	3	12	350	1000	20	repetition	2	0.5	4	33	1970	3.48193677086874	0.0173780622724844
21	3	12	350	5000	20	binomial	2	0.5	9	58	1804	3.25942919329377	0.0470759330758812
22	3	12	350	5000	20	gaussian	2	0.5	10	4	1839	3.05058744403994	0.0526394023301385
23	3	12	350	5000	20	uniform	2	0.5	8	3	1820	2.68683752144689	NaN
24	3	12	350	5000	20	repetition	2	0.5	4	35	1964	3.48190740072702	0.0189998180484448
