component_0	component_1	component_2	component_3	component_4	component_5	component_6	component_7	component_8	component_9	predicted_component	max_proba
1	0.00285714285714286	0.954285714285714	0.0428571428571429	0	0	0	0	0	0	0	1	0.954285714285714
2	0.000952380952380952	0.126666666666667	0.299047619047619	0.000476190476190476	0	0.572857142857143	0	0	0	0	5	0.572857142857143
3	0.0019047619047619	0.415555555555556	0.183333333333333	0.164603174603175	0.000158730158730159	0.189206349206349	0.0433333333333333	0.00126984126984127	0.000634920634920635	0	1	0.415555555555556
4	0.00158730158730159	0.737460317460317	0.252380952380952	0.000634920634920635	0	0.00412698412698413	0	0.00380952380952381	0	0	1	0.737460317460317
5	0.000952380952380952	0.349365079365079	0.237777777777778	0	0.00396825396825397	0.377619047619048	0.000634920634920635	0.0296825396825397	0	0	5	0.377619047619048
6	0.000476190476190476	0.00571428571428571	0.00333333333333333	0	0	0	0	0.990476190476191	0	0	7	0.990476190476191
7	0	0.969285714285714	0.0161904761904762	0.000238095238095238	0.0030952380952381	0.00571428571428571	0.00547619047619048	0	0	0	1	0.969285714285714
8	0.000952380952380952	0.656507936507936	0.00349206349206349	0.328253968253968	0.000317460317460317	0.00984126984126984	0.000317460317460317	0.000317460317460317	0	0	1	0.656507936507936
9	0	0.976190476190476	0.0233333333333333	0	0.000476190476190476	0	0	0	0	0	1	0.976190476190476
10	0.00158730158730159	0.033968253968254	0.0307936507936508	0.00761904761904762	0.000317460317460317	0.00253968253968254	0.013968253968254	0.909206349206349	0	0	7	0.909206349206349
11	0	0.956666666666667	0.0292857142857143	0	0.00476190476190476	0.00785714285714286	0.000476190476190476	0.000952380952380952	0	0	1	0.956666666666667
12	0	0	0.000317460317460317	0.998888888888889	0.000158730158730159	0.000158730158730159	0.000476190476190476	0	0	0	3	0.998888888888889
13	0.00317460317460317	0.946666666666667	0.0487301587301587	0	0	0.000793650793650794	0.000634920634920635	0	0	0	1	0.946666666666667
14	0.000793650793650794	0.438095238095238	0.448095238095238	0	0.00365079365079365	0.105238095238095	0.00412698412698413	0	0	0	2	0.448095238095238
15	0.000634920634920635	0.103174603174603	0.875873015873016	0	0.0152380952380952	0.00222222222222222	0	0.00285714285714286	0	0	2	0.875873015873016
16	0	0.0226190476190476	0.97	0	0	0.005	0	0.00238095238095238	0	0	2	0.97
17	0.000317460317460317	0.104285714285714	0.225238095238095	0.000158730158730159	0.000158730158730159	0.667619047619048	0	0.00222222222222222	0	0	5	0.667619047619048
18	0	0.0714285714285714	0.905238095238095	0	0.000476190476190476	0.0138095238095238	0.000476190476190476	0.00857142857142857	0	0	2	0.905238095238095
19	0.000317460317460317	0.956825396825397	0.0279365079365079	0	0.000317460317460317	0.0101587301587302	0	0.00444444444444444	0	0	1	0.956825396825397
20	0.000238095238095238	0.97452380952381	0.0164285714285714	0	0.00261904761904762	0.00523809523809524	0.000952380952380952	0	0	0	1	0.97452380952381
