CoxGLM_0	CoxGLM_0.1	CoxGLM_0.2	CoxGLM_0.3	CoxGLM_0.4	CoxGLM_0.5	CoxGLM_0.6	CoxGLM_0.7	CoxGLM_0.8	CoxGLM_0.9	CoxGLM_1	RFS_1050_20	CoxBoost_	RFX_
1	0.670779212233672	0.670818692671115	0.670871333254372	0.670937133983445	0.670976614420888	0.670976614420888	0.670976614420888	0.671108215879032	0.671095055733217	0.671095055733217	0.671095055733217	0.653526261070973	0.667048310895285	0.670726571650414
2	0.651199373346688	0.651058119526414	0.650993913244472	0.65109664329558	0.651032437013637	0.651045278270026	0.651058119526414	0.651019595757249	0.65100675450086	0.65100675450086	0.651019595757249	0.629959935280068	0.650531628014485	0.651109484551969
3	0.667979328841499	0.66759992150193	0.667534506443383	0.667377510302872	0.667285929220907	0.667233597174069	0.667142016092104	0.667115850068686	0.667128933080395	0.667102767056976	0.666971936939884	0.660031399228102	0.662562961993851	0.667652253548767
4	0.643732315412952	0.643852437136298	0.643812396561849	0.643825743419999	0.64378570284555	0.6437990497037	0.64378570284555	0.6437990497037	0.643825743419999	0.6437990497037	0.6437990497037	0.646294912177673	0.650952965671881	0.645480753830548
5	0.677819884976181	0.677633071349462	0.677446257722742	0.677446257722742	0.677352850909382	0.677312819417942	0.677286131756982	0.677139349621702	0.677152693452182	0.677139349621702	0.677139349621702	0.634999532965933	0.675471370811705	0.677846572637141
6	0.639487269667014	0.639449587378946	0.639474708904325	0.639474708904325	0.639399344328188	0.639499830429704	0.639386783565498	0.639437026616256	0.639487269667014	0.639361662040119	0.639361662040119	0.635656237046713	0.642344843178878	0.639688241870046
7	0.653786790143169	0.654106125924743	0.654292405130662	0.654212571185268	0.654452073021449	0.654398850391186	0.654398850391186	0.654452073021449	0.654465378679014	0.654465378679014	0.654398850391186	0.625938048858375	0.655117355899729	0.653640427909947
8	0.671547398996567	0.671771851069448	0.671877475574333	0.671837866385001	0.671969897016108	0.671930287826776	0.671917084763665	0.671930287826776	0.671917084763665	0.671969897016108	0.671983100079218	0.657024029574861	0.669025613942435	0.671705835753895
9	0.671628698086169	0.671561734099401	0.671548341302048	0.671548341302048	0.671548341302048	0.671534948504694	0.671588519694108	0.671548341302048	0.671561734099401	0.671561734099401	0.671575126896755	0.650240400712497	0.668521569100138	0.671909946830594
10	0.676354646889824	0.676341284158482	0.676207656845059	0.676140843188348	0.676100754994321	0.676074029531636	0.676087392262979	0.676100754994321	0.676194294113717	0.676167568651032	0.676221019576401	0.660706888488007	0.676368009621167	0.676301195964455
