,coef,feature,n
ASXL1,-14.665957038369609,ASXL1,100
ASXL2,-7.9089069199504225,ASXL2,100
ASXL3,-28.160347783393423,ASXL3,100
ATRX,-22.711690702707443,ATRX,100
BAGE3,26.306236620605727,BAGE3,100
BCOR,-5.276105902325559,BCOR,100
BRAF,-20.21209045394686,BRAF,100
CBFB,-1.1871223620952536,CBFB,100
CBL,-4.759281988587315,CBL,100
CDKN2A,-18.42462475473998,CDKN2A,100
CEBPA_bi,36.75045298637407,CEBPA_bi,100
CEBPA_mono,-0.6960440601700998,CEBPA_mono,100
CNTN5,-32.430848240409595,CNTN5,100
CREBBP,33.083342754444345,CREBBP,100
CSF1R,-45.41366438175183,CSF1R,100
CSF3R,-2.8653890648244755,CSF3R,100
CTCF,-19.15252502058142,CTCF,100
CUL2,50.462229722912326,CUL2,100
CUX1,-14.424020778893885,CUX1,100
DNMT3A,-7.71403927635057,DNMT3A,100
EED,-46.71997621971999,EED,100
ETV6,1.4757414832988913,ETV6,100
EZH2,-13.75492068383045,EZH2,100
FBXW7,8.041486062909303,FBXW7,100
FLT3_TKD,0.5832123986946359,FLT3_TKD,100
FLT3_other,-2.334573041960187,FLT3_other,100
GATA1,49.785992215650765,GATA1,100
GATA2,9.000676052400008,GATA2,100
GNAS,29.113889319198282,GNAS,100
GNB1,32.39813528734555,GNB1,100
IDH1,-2.155287231125478,IDH1,100
IDH2_p.R140,-1.909568883840324,IDH2_p.R140,100
IDH2_p.R172,8.911459752956576,IDH2_p.R172,100
ITD,-17.946098664215057,ITD,100
JAK2,-11.320420849845695,JAK2,100
JAK3,4.916299741069083,JAK3,100
KANSL1,5.245147718331852,KANSL1,100
KDM6A,-13.147826578692259,KDM6A,100
KIT,2.8417093111282283,KIT,100
KMT2C,26.306236620605727,KMT2C,100
KMT2D,-3.8734987460521957,KMT2D,100
KMT2E,9.859643300537725,KMT2E,100
KRAS,-5.942370498107857,KRAS,100
LUC7L2,-9.374600887383403,LUC7L2,100
MED12,-5.53901243300976,MED12,100
MLL,-13.731122688770098,MLL,100
MPL,-32.34012428964359,MPL,100
MYC,2.1168202300918124,MYC,100
NF1,5.141660095774277,NF1,100
NFE2,64.90150408797258,NFE2,100
NOTCH1,15.540486374586797,NOTCH1,100
NPM1,5.4210483851618125,NPM1,100
NRAS_other,-7.720088730149617,NRAS_other,100
NRAS_p.G12_13,-1.114766041479936,NRAS_p.G12_13,100
NRAS_p.Q61_62,-13.620009019193791,NRAS_p.Q61_62,100
PDS5B,67.92951211925153,PDS5B,100
PHF6,-3.161874139552754,PHF6,100
PPFIA2,-3.9532348613363135,PPFIA2,100
PRPF8,-19.96826125758753,PRPF8,100
PTEN,48.8855312117905,PTEN,100
PTPN11,9.933585304182104,PTPN11,100
PTPRF,-3.9532348613363135,PTPRF,100
PTPRT,-49.90923857734357,PTPRT,100
RAD21,2.9087296479067275,RAD21,100
RIT1,11.261313688963,RIT1,100
RUNX1,-3.725510198794004,RUNX1,100
S100B,10.757036857352945,S100B,100
SETBP1,-8.962854230719532,SETBP1,100
SF1,-59.09064773117719,SF1,100
SF3B1,-29.677143423738745,SF3B1,100
SMC1A,-7.203193619844423,SMC1A,100
SMC3,-3.2341517748217186,SMC3,100
SMG1,14.484937231652324,SMG1,100
SPP1,17.330568289446187,SPP1,100
SRSF2,-16.399414989088104,SRSF2,100
STAG2,3.9237903132857137,STAG2,100
STAT5B,-1.5836666889383273,STAT5B,100
SUZ12,5.339973528731517,SUZ12,100
TET2,-15.213009500442999,TET2,100
TP53,-35.77436937918341,TP53,100
U2AF1_p.Q157,-30.31259347331246,U2AF1_p.Q157,100
U2AF1_p.S34,-12.21135522292299,U2AF1_p.S34,100
WT1,-14.334202224550351,WT1,100
ZRSR2,-4.254763604086934,ZRSR2,100
final_component_NC1,-4.335542800855293,final_component_NC1,100
final_component_NC2,11.139895556257862,final_component_NC2,100
final_component_NC3,-5.785071551205481,final_component_NC3,100
final_component_NC6,-9.469824117624137,final_component_NC6,100
final_component_NC7,-12.204870490565808,final_component_NC7,100
final_component_c1_NPM1,5.4210483851463,final_component_c1_NPM1,100
final_component_c2_TP53_complex,-29.240800824362267,final_component_c2_TP53_complex,100
final_component_c3_rare_fusion,5.772038684950567,final_component_c3_rare_fusion,100
final_component_c3_trans11,3.2851890981926712,final_component_c3_trans11,100
final_component_c3_trans15_17,70.04963526405596,final_component_c3_trans15_17,100
final_component_c4_5_trans_8_21,44.476125178032305,final_component_c4_5_trans_8_21,100
final_component_c6_biallelic_CEBPA,-29.560957116721156,final_component_c6_biallelic_CEBPA,100
final_component_c7_inversion_3,-38.317614340508875,final_component_c7_inversion_3,100
final_component_c8_BAGE3_KMT2C,-47.67237494034088,final_component_c8_BAGE3_KMT2C,100
final_component_chr_splicing,12.223690650320556,final_component_chr_splicing,100
final_component_nc4_DNMT3A_IDH2,9.2153370515918,final_component_nc4_DNMT3A_IDH2,100
final_component_not_assigned,15.004096313540991,final_component_not_assigned,100
