,coef,feature,n
age,-0.015366448679709328,age,100
ahd,0.13951379048948356,ahd,100
bm_blasts,-0.0008214363108233917,bm_blasts,100
final_component_NC1,0.008755099924175532,final_component_NC1,100
final_component_NC2,-0.0005405861828983897,final_component_NC2,100
final_component_NC3,-0.026707894515996138,final_component_NC3,100
final_component_NC6,-0.12647684975467263,final_component_NC6,100
final_component_NC7,-0.2506185509505127,final_component_NC7,100
final_component_c1_NPM1,0.16226849699176413,final_component_c1_NPM1,100
final_component_c2_TP53_complex,-0.43770289340207585,final_component_c2_TP53_complex,100
final_component_c3_rare_fusion,0.02461356246125807,final_component_c3_rare_fusion,100
final_component_c3_trans11,-0.07352708628094014,final_component_c3_trans11,100
final_component_c3_trans15_17,0.18288538408802066,final_component_c3_trans15_17,100
final_component_c4_5_trans_8_21,0.1198221346151118,final_component_c4_5_trans_8_21,100
final_component_c6_biallelic_CEBPA,0.14336503168519227,final_component_c6_biallelic_CEBPA,100
final_component_c7_inversion_3,-0.3507802281234182,final_component_c7_inversion_3,100
final_component_c8_BAGE3_KMT2C,0.30847348526370594,final_component_c8_BAGE3_KMT2C,100
final_component_chr_splicing,0.020047836511669432,final_component_chr_splicing,100
final_component_nc4_DNMT3A_IDH2,0.14759873159405884,final_component_nc4_DNMT3A_IDH2,100
final_component_not_assigned,0.1485243260748604,final_component_not_assigned,100
gender,0.004079456532473047,gender,100
hb,-0.00010078307557882257,hb,100
perf_status,-0.10380797686483166,perf_status,100
plt,0.0001381903408490005,plt,100
secondary,-0.05126331980220358,secondary,100
wbc,-0.0011124337451394882,wbc,100
