,eln_clin_demo_comp_final_comp,eln_cyto_gen_comp_final_comp,eln_cyto_comp_final_comp,eln_gen_comp_final_comp,clin_demo_comp_final_comp,cyto_gen_comp_final_comp,cyto_comp_final_comp,gen_comp_final_comp,clin_demo_cyto_gen_comp_final_comp,comp_final_comp
0,0.6971625353096137,0.6477687498016313,0.6302964420604945,0.6433332275367378,0.7016377312978068,0.6477925540356111,0.6206557272986956,0.6394293331640588,0.7086996540451328,0.6157361856095471
1,0.700019201843377,0.6483182385509009,0.6444138637309181,0.6402134604922073,0.6965948731078183,0.6471021218036932,0.6300844881108586,0.6362930841360771,0.695154734854546,0.623427849073511
2,0.7340548475762119,0.6773722513743129,0.6746782858570715,0.6720389805097451,0.7271676661669165,0.6733586331834083,0.6507527486256871,0.6597326336831584,0.7318372063968016,0.640101824087956
3,0.7227053604317815,0.6601803360079438,0.6527250596582265,0.6555438107593011,0.7172119989109371,0.660076234404779,0.6394160700844024,0.6523246688768238,0.7203030157433655,0.6057432053684396
4,0.7196972212077952,0.6615069220809402,0.6446416121642707,0.6558132200126158,0.7190166329139139,0.6580292818963513,0.5910411340924936,0.6455960957471532,0.7243285415490853,0.5919209189601938
5,0.710268019432235,0.651401235995902,0.6464275091708253,0.6462374830628904,0.710086255328993,0.6514260220099805,0.6332330876763937,0.6422551968009518,0.7130440530090221,0.6236409002280313
6,0.7459357962874508,0.6651211437418675,0.650527893531863,0.6593727867178364,0.7423121901404971,0.659850443891753,0.6262414968787574,0.6560785993115148,0.7469075815723156,0.6164577602819824
7,0.7345132743362832,0.6465941667705347,0.6322370061074412,0.6436261373551041,0.7278137853670696,0.6423953010095974,0.6198117911005858,0.6361320578337281,0.730587062196186,0.5915337155677427
8,0.7051469344446324,0.6576681173015116,0.6496793738178351,0.6512017715173231,0.6977502345107567,0.655069276784204,0.6420750741976656,0.6447892478740255,0.7132048778237402,0.6214535053591475
9,0.7152998969970684,0.6543063148720387,0.6412566357657872,0.65062990254338,0.7088027890024562,0.6496315664368909,0.6118215672292211,0.6399492908644323,0.7241423025116869,0.6019966722129784
10,0.7347192207205754,0.6802486856110699,0.6637825371738219,0.6721043124858884,0.7295584298293714,0.679708415314647,0.6638147921168919,0.6697658291133116,0.7419604554397962,0.634148308228236
11,0.7029728020240354,0.67530834914611,0.6659392789373814,0.6756008855154966,0.7007115749525616,0.6751027830487033,0.6525063251106894,0.6728494623655914,0.7165876027830487,0.643825110689437
12,0.7113638849392978,0.6615677880033124,0.6437555663192762,0.6548960172497305,0.7022702770269215,0.6571928563616194,0.627583944000875,0.644474305088983,0.7188793925094921,0.594881329979219
13,0.7393463162616591,0.6847283020619035,0.6678602917291837,0.6805983077851165,0.7318597348760228,0.6841250444709122,0.6430957942118207,0.6793453881730576,0.738851335674179,0.6268619777568099
14,0.7250336154393736,0.6670726884441984,0.6469271533654987,0.6644150913549,0.7226449418650637,0.6611326425690105,0.6086292810250732,0.6589100688127818,0.7244641303488096,0.622209918531994
15,0.7021828945910437,0.6265809760498947,0.6111709116236367,0.623185538125465,0.7024519968974087,0.628053123961186,0.6018789672803254,0.6258844759628323,0.7028160764883732,0.6125639117977617
16,0.700371620045714,0.6384245797894671,0.6349960350162487,0.6367997138992116,0.6829101425839255,0.6296394197129662,0.607684293999658,0.6216550308646774,0.6990344098393793,0.5884113631769626
17,0.7198041261941077,0.661949104920928,0.6603756923817934,0.6586096170827647,0.7123705547081962,0.6557277032993498,0.6362848197800434,0.6463514489845067,0.7128682668379225,0.6183350726499157
18,0.7240763762710783,0.6419304453157375,0.641053839533327,0.6394361034076057,0.7180676420898282,0.6360014025692519,0.6197363807337988,0.6305345701444008,0.7249529820534889,0.5950001593828695
19,0.7073413654618473,0.6640963855421687,0.6352128514056224,0.6630522088353413,0.7023132530120482,0.6620240963855422,0.6051084337349397,0.6596305220883534,0.7090923694779117,0.6218955823293173
20,0.7155800858204788,0.6475617731978497,0.6349678571998277,0.6428001722790282,0.7173028761026655,0.6489735041235305,0.6166392828087862,0.6402957456651087,0.7141763307757342,0.6099395428225047
21,0.721423591514226,0.6676737160120846,0.6585604727598685,0.6652418578400452,0.7153148965837788,0.6622456093755188,0.6331131104545001,0.6536386574150924,0.7234487566813851,0.6142226353706717
22,0.7048471993086652,0.6615602168277163,0.6427606253437034,0.6551103778772881,0.7037316364207714,0.6699976431769974,0.6242752769267028,0.6635713724565951,0.7208735957262943,0.6159006991908241
23,0.7030403607101481,0.6387888655791089,0.6098725616056612,0.6344756865078123,0.6970128690860131,0.6340138397470019,0.5827801609418543,0.6260215424116229,0.7072204652910418,0.5870463725459498
24,0.7191309655388575,0.6372506969761956,0.6176858740658869,0.6354278361569805,0.7225787294412643,0.6433378973589139,0.6111202758211122,0.6381085138322968,0.7272142397598113,0.60008413203781
