"model" "variable" "value"
"1" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.777474512322389
"2" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.783880549088866
"3" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.77049048727623
"4" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.774985951673757
"5" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.769591394396725
"6" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.771004254635948
"7" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.771132696475877
"8" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.769639560086698
"9" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.762045436300875
"10" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.769045516577025
"16" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.766910170988199
"21" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.765529421208959
"31" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.776318535763025
"41" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.783719996788954
"51" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.77034599020631
"61" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.774568515693987
"71" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.769190013646946
"81" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.767777153407723
"91" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.769880388536566
"101" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.769414786866822
"11" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.762141767680822
"12" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.769495063016778
"13" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.766733563458297
"14" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.76445372079955
"15" "eln_comp_gen_cyto_clin_demo" "deep neural network" 0.761274785261299
