,all_features,clin_demo_comp,clin_demo_cyto_gen_comp,comp,cyto_comp,cyto_gen_comp,eln_clin_demo_comp,eln_cyto_comp,eln_cyto_gen_comp,eln_gen_comp,gen_comp,clin_comp,clin_cyto_comp,clin_gen_comp,eln_clin_comp,all_features_without_age,clin_demo_comp_without_age,clin_demo_cyto_gen_comp_without_age,eln_clin_demo_comp_without_age
0,0.7004633890881391,0.6977338369251278,0.703430983590948,0.6058574285079507,0.614125432443584,0.6410559558193417,0.6980194877328848,0.6125305487669407,0.6372234741486019,0.6311216555051259,0.6339067508807567,0.6364934776398895,0.6429840987717015,0.6488875487986796,0.6375726029136383,0.6521249246199258,0.6376678198495572,0.6550925191227346,0.6366363030437681
1,0.6995711588312478,0.700499247927801,0.6963868531379013,0.6242679297212532,0.6305485326591352,0.6452859474509552,0.6972829391621596,0.6385092968925017,0.648374243927417,0.6441338368483375,0.6362210772234135,0.6561109866547189,0.6586232278298717,0.6514705411719525,0.6626236118667392,0.6642237654814862,0.6589112554805261,0.6594553077095401,0.6624955995775594
2,0.7342578710644677,0.7288387056471765,0.7327898550724637,0.6436469265367316,0.6519865067466267,0.673608508245877,0.7279329085457271,0.6720311719140429,0.6774112943528235,0.6792853573213393,0.6659092328835582,0.6857040229885057,0.6885932033983009,0.6893584457771115,0.6874062968515742,0.6987287606196901,0.6825337331334332,0.6864380309845077,0.6877186406796602
3,0.7220006726565128,0.7164272329793879,0.7196944217556335,0.6160572718973718,0.6277406748987011,0.6552395137654351,0.7170518425983761,0.6422588446323612,0.6605807267893464,0.6561203734845209,0.6477762296000897,0.652652989317574,0.6534057239866109,0.6592193981325773,0.6644725251845801,0.6721760438187672,0.651451816973366,0.6658819007351174,0.6646967440221656
4,0.7258059161382424,0.7201454134988878,0.7258059161382424,0.6045782012549384,0.6103632017529298,0.6561037150161018,0.7216725872314996,0.6237757710567379,0.658552172902626,0.6547923375717938,0.6488828392151655,0.6549749344311278,0.6607184356429069,0.6708110620497327,0.6601042462069653,0.6804720958799508,0.653829554131669,0.6759071743966004,0.6597058530593274
5,0.7146138339006577,0.7088304306156846,0.7141015896097029,0.6223685515053372,0.6345963184507089,0.6488317525364354,0.7109620278264318,0.6385786047126475,0.648302984236095,0.6446181301430979,0.6409911100829505,0.6636372649459665,0.6672890710201923,0.6679830794143891,0.6681813675270167,0.6719984136950989,0.6647608975841899,0.670494728841006,0.6683961796490301
6,0.7415874689111064,0.7414227595407903,0.7441734060250688,0.6356381664552896,0.6382405745062837,0.6614728311893664,0.7416533526592328,0.6511784955446115,0.6526526444089404,0.6521173389554131,0.6570421491278639,0.6756213660995174,0.6787508441355229,0.6796732166092929,0.6740072142704199,0.6834944740006259,0.6718824633933425,0.6819132640455916,0.6740895689555779
7,0.7312102704723918,0.7287797581951888,0.7271594166770534,0.6054156799202294,0.6138913124766296,0.6481288171506918,0.7304624205409448,0.6424186713199551,0.6537221114296398,0.6540181353608376,0.6411644646640907,0.690187585691138,0.6951420914869749,0.6906549918982924,0.6986943786613486,0.6926492583821513,0.6818210145830736,0.6875233703103577,0.6969961361086875
8,0.7139737655507543,0.6968429469928801,0.7142351873779391,0.627866029002445,0.6379922803672208,0.6565609189746113,0.6984883667286903,0.6391686785895524,0.650986482953759,0.6481185317319965,0.6491949745498162,0.6554921650340617,0.6635654861677098,0.6705777422380784,0.6659336603669133,0.6722539174829691,0.6548616770979102,0.6754371126728075,0.665318550185302
9,0.7197210997543776,0.7081372315981301,0.7255684969495285,0.615101814436257,0.6123999683067902,0.6508359084066239,0.7106568417716504,0.6340226606449568,0.6517787813960859,0.6486094604231043,0.6453846763330956,0.6600269392282704,0.6677125425877506,0.6794231835829173,0.6659694160526107,0.679137944695349,0.6569368512796133,0.6812455431423817,0.6628159416844941
